日期,时间段,计划购电量_kWh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,580.612324343
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,501.933372972
2025-03-20,18:00-18:10,710.809199569
2025-03-20,20:00-20:10,0.0
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,225.507706478
2025-06-21,18:00-18:10,0.0
2025-06-21,20:00-20:10,0.0
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,490.926425127
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,523.201686746
2025-09-23,18:00-18:10,812.864622799
2025-09-23,20:00-20:10,0.0
2025-12-21,10:00-10:10,0.0
2025-12-21,12:00-12:10,1022.48783924
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,859.882762194
2025-12-21,18:00-18:10,777.811533249
2025-12-21,20:00-20:10,0.0
