date,slots,emergency_slots,emergency_kwh,emergency_yuan,planned_kwh,planned_yuan
2025-02-01,144,0,0.0,0.0,37426.4684786633,20571.232529656358
2025-02-02,144,0,0.0,0.0,91088.36964477091,57760.540146945175
2025-02-03,144,0,0.0,0.0,87620.57676374285,55334.227246588234
2025-02-04,144,0,0.0,0.0,89038.43439675837,56044.05976370752
2025-02-05,144,1,18.0163496826,104.6479671313821,87787.44521203068,55285.31444724056
2025-02-06,144,2,37.0784117166,216.0646990558722,88896.77327551633,56104.53752124101
2025-02-07,144,0,0.0,0.0,42049.04107504956,21732.110143969738
2025-02-08,144,3,80.70435110700001,410.893576427846,38439.16951187111,19802.49202857363
2025-02-09,144,1,6.72093006157,31.48083640839388,86659.23670140057,54267.91528922243
2025-02-10,144,0,0.0,0.0,87210.66122361855,54803.16643125311
2025-02-11,144,1,5.15826534853,24.16131489251452,85795.29076122413,53710.90005153014
2025-02-12,144,5,137.94737502886002,906.7629812598267,83065.44654645822,51711.757165017414
2025-02-13,144,0,0.0,0.0,83623.17513113037,52320.49911563701
2025-02-14,144,10,249.35821701912002,943.0251829002979,34959.054469612616,18250.42707642375
2025-02-15,144,19,484.8712612238591,2230.389582061758,34979.660197883386,18216.639684823735
2025-02-16,144,8,757.2461359635,3797.3069127534127,79907.44930394416,49383.78512800777
2025-02-17,144,1,10.9266579818,49.7108304881991,81107.8065726753,50348.241946900496
2025-02-18,144,2,40.01189320436,182.8149111025511,79719.74084639392,49363.100753672385
2025-02-19,144,2,82.9986455322,368.0825681082699,79141.8474699315,48915.75947044377
2025-02-20,144,1,23.4373437202,109.78051798541681,79546.55137488409,49044.73262211278
2025-02-21,144,0,0.0,0.0,34550.357909762795,18197.151146655095
2025-02-22,144,0,0.0,0.0,35093.317663769,18425.40924291188
2025-02-23,144,1,9.19373376746,43.06344896678264,79276.21751814625,48996.35279866148
2025-02-24,144,2,51.4480766852,232.99369744347683,77249.86238995867,47579.98389886542
2025-02-25,144,2,51.4097641964,230.3980635318348,77221.91659736783,47671.069306900295
2025-02-26,144,0,0.0,0.0,75964.38174396331,46799.97101726709
