month,M1_R1_yuan,M1_R2_yuan,R2_minus_R1_yuan
2025-02,1303691.7324651068,1283331.1676182193,-20360.564846887486
2025-03,1288951.4926183664,1265343.009222476,-23608.483395890333
2025-04,1092079.5904142512,1069851.3022779997,-22228.288136251504
2025-05,1071836.136326255,1042707.332639235,-29128.80368702009
2025-06,1507697.8241628928,1483722.9869434838,-23974.837219408946
2025-07,1568862.4895313585,1544853.6341029548,-24008.85542840371
2025-08,1468132.8162258768,1431607.8595034308,-36524.95672244602
2025-09,1501397.4527689074,1479500.9567534474,-21896.496015459998
2025-10,1309804.2264046986,1300402.0819905426,-9402.144414155977
2025-11,1354334.2340229882,1332892.8342744221,-21441.399748566095
2025-12,1716343.6995834876,1704636.5552615656,-11707.14432192198
