model,date,plan_cost,emg_cost,total_cost,emg_kwh,e0,e_end
M0,2025-02-01,20571.23252965636,0.0,20571.23252965636,0.0,10800.0,2710.96047779
M0,2025-02-02,57760.54014694516,0.0,57760.54014694516,0.0,2710.96047779,2664.49304717
M0,2025-02-03,55334.22724658822,0.0,55334.22724658822,0.0,2664.49304717,1839.80492191
M0,2025-02-04,56044.0597637075,0.0,56044.0597637075,0.0,1839.80492191,1964.46988089
M0,2025-02-05,55285.314447240555,104.6479671313821,55389.96241437194,18.0163496826,1964.46988089,1838.43137871
M0,2025-02-06,56104.537521241,216.0646990558722,56320.60222029687,37.0784117166,1838.43137871,1785.03620036
M0,2025-02-07,21732.11014396974,0.0,21732.11014396974,0.0,1785.03620036,1371.98857429
M0,2025-02-08,19802.49202857363,410.893576427846,20213.385605001477,80.704351107,1371.98857429,1246.54182923
M0,2025-02-09,54267.91528922242,31.48083640839388,54299.39612563081,6.72093006157,1246.54182923,1576.9666332
M0,2025-02-10,54803.16643125309,0.0,54803.16643125309,0.0,1576.9666332,1516.47073387
M0,2025-02-11,53710.90005153014,24.16131489251452,53735.061366422655,5.15826534853,1516.47073387,1418.68724053
M0,2025-02-12,51711.75716501742,906.7629812598268,52618.52014627725,137.94737502886,1418.68724053,1328.67980152
M0,2025-02-13,52320.499115637016,0.0,52320.499115637016,0.0,1328.67980152,1647.77189324
M0,2025-02-14,18250.42707642375,943.0251829002979,19193.452259324047,249.35821701912,1647.77189324,1200.0
M0,2025-02-15,18216.639684823742,2230.389582061757,20447.029266885496,484.87126122385905,1200.0,1200.0
M0,2025-02-16,49383.785128007774,3797.3069127534127,53181.092040761185,757.2461359634999,1200.0,1452.81645468
M0,2025-02-17,50348.24194690051,49.7108304881991,50397.95277738871,10.9266579818,1452.81645468,1451.80331674
M0,2025-02-18,49363.100753672385,182.8149111025511,49545.91566477494,40.01189320436,1451.80331674,1737.34219816
M0,2025-02-19,48915.759470443794,368.0825681082699,49283.842038552066,82.9986455322,1737.34219816,1255.60961669
M0,2025-02-20,49044.73262211281,109.7805179854168,49154.51314009823,23.4373437202,1255.60961669,1811.32464443
M0,2025-02-21,18197.151146655095,0.0,18197.151146655095,0.0,1811.32464443,1629.05733578
M0,2025-02-22,18425.409242911883,0.0,18425.409242911883,0.0,1629.05733578,1871.49491716
M0,2025-02-23,48996.35279866149,43.06344896678263,49039.41624762828,9.19373376746,1871.49491716,1878.51000796
M0,2025-02-24,47579.98389886544,232.9936974434768,47812.97759630892,51.4480766852,1878.51000796,1794.29981282
M0,2025-02-25,47671.06930690028,230.3980635318348,47901.46737043212,51.4097641964,1794.29981282,1778.7643081
M0,2025-02-26,46799.971017267104,0.0,46799.971017267104,0.0,1778.7643081,1991.88733612
M0,2025-02-27,45874.69711569867,2993.089540822493,48867.786656521166,619.05883669607,1991.88733612,2037.9480718
M0,2025-02-28,18015.530462442883,0.0,18015.530462442883,0.0,2037.9480718,1942.07680649
M0,2025-03-01,18468.254723072336,0.0,18468.254723072336,0.0,1942.07680649,2278.17497279
M0,2025-03-02,48358.25953380119,6410.068834044271,54768.32836784546,925.867504467,2278.17497279,1864.9840092
M0,2025-03-03,47085.45577034073,6070.172171506916,53155.627941847655,1059.107340649,1864.9840092,1479.15773007
M0,2025-03-04,49107.77282049306,0.0,49107.77282049306,0.0,1479.15773007,1736.43086109
M0,2025-03-05,48564.874143985115,0.0,48564.874143985115,0.0,1736.43086109,1904.50266835
M0,2025-03-06,45520.932457228446,0.0,45520.932457228446,0.0,1904.50266835,1346.61925236
M0,2025-03-07,17001.103644804578,0.0,17001.103644804578,0.0,1346.61925236,1631.68774305
M0,2025-03-08,16176.941530647231,785.3715137759768,16962.31304442321,204.71307757433,1631.68774305,1456.78192864
M0,2025-03-09,45355.87015867718,0.0,45355.87015867718,0.0,1456.78192864,1924.67095832
M0,2025-03-10,43860.65660754827,2349.5002031856247,46210.1568107339,343.42285162963003,1924.67095832,1494.32611293
M0,2025-03-11,45506.76316190684,0.0,45506.76316190684,0.0,1494.32611293,2143.94571252
M0,2025-03-12,43845.970227203594,0.0,43845.970227203594,0.0,2143.94571252,1543.29956617
M0,2025-03-13,43177.791308683925,8142.598760822695,51320.390069506626,1301.4104594437001,1543.29956617,1463.68621978
M0,2025-03-14,16410.99011759161,0.0,16410.99011759161,0.0,1463.68621978,1932.41320347
M0,2025-03-15,15851.903906274743,1737.8161161075054,17589.72002238225,455.2904169863,1932.41320347,1361.76831138
M0,2025-03-16,44408.0728362343,7.46118,44415.5340162343,1.64,1361.76831138,2265.68718085
M0,2025-03-17,44064.480443375716,0.0,44064.480443375716,0.0,2265.68718085,2229.43757844
M0,2025-03-18,41052.05129189254,3283.143815175277,44335.19510706782,663.4300197366,2229.43757844,1673.03435099
M0,2025-03-19,41392.186100312996,1682.9210456511596,43075.10714596415,345.3511597597,1673.03435099,2169.05096281
M0,2025-03-20,40958.565177124256,0.0,40958.565177124256,0.0,2169.05096281,1813.40873711
M0,2025-03-21,15400.064356450435,965.4111103946043,16365.47546684504,249.4453292343,1813.40873711,1509.41613325
M0,2025-03-22,15904.723945397633,0.0,15904.723945397633,0.0,1509.41613325,2175.46888573
M0,2025-03-23,41112.4169342464,0.0,41112.4169342464,0.0,2175.46888573,1998.07060348
M0,2025-03-24,40286.43509110295,0.0,40286.43509110295,0.0,1998.07060348,2067.11372907
M0,2025-03-25,40032.3364499981,0.0,40032.3364499981,0.0,2067.11372907,1497.67505426
M0,2025-03-26,40200.562620611454,0.0,40200.562620611454,0.0,1497.67505426,1870.72171185
M0,2025-03-27,40321.195109987995,0.0,40321.195109987995,0.0,1870.72171185,1825.16656621
M0,2025-03-28,15229.401763420874,0.0,15229.401763420874,0.0,1825.16656621,1952.03327176
