model,month,plan_cost,emg_cost,total_cost,emg_kwh
M0,2025-02,1184531.6035523699,12874.666631340328,1197406.2701837101,2665.586248935329
M0,2025-03,1095967.2640425984,31987.815489467954,1127955.0795320664,5629.00022639626
M0,2025-04,921984.6406083129,47932.189304116604,969916.8299124296,7444.392196180457
M0,2025-05,940872.5951745962,43529.427069871614,984402.0222444677,7858.63646375346
M0,2025-06,1279055.886173666,162483.76542274002,1441539.651596406,26628.596630530203
M0,2025-07,1459603.5122496814,52937.79919933835,1512541.3114490197,9358.656735908979
M0,2025-08,1227696.0854007052,50965.591395517324,1278661.6767962226,7968.023641493648
M0,2025-09,1020626.6051389123,232286.09046843933,1252912.6956073516,41063.071767563546
M0,2025-10,1109824.4983127594,27843.133875435855,1137667.6321881954,4511.323317802689
M0,2025-11,1284153.7087726286,770.1806821070159,1284923.8894547357,161.18929549668002
M0,2025-12,1719947.5278013987,31578.94991457702,1751526.4777159756,6457.73270989791
M1_R2,2025-02,1105093.9880983299,178237.1795198893,1283331.1676182193,42092.80823256146
M1_R2,2025-03,1005925.6658053355,259417.34341714001,1265343.0092224756,58318.191827824674
M1_R2,2025-04,840025.7942542126,229825.50802378712,1069851.3022779997,45955.82785995074
M1_R2,2025-05,858198.054541444,184509.2780977909,1042707.3326392351,38433.13444149992
M1_R2,2025-06,1177016.7005141529,306706.2864293308,1483722.9869434838,63403.83693151657
M1_R2,2025-07,1357384.04872166,187469.58538129495,1544853.634102955,43065.50670442858
M1_R2,2025-08,1143134.9982822796,288472.8612211516,1431607.859503431,61202.31512463759
M1_R2,2025-09,928694.0481010708,550806.9086523767,1479500.9567534477,120770.86972106034
M1_R2,2025-10,997064.6119772732,303337.4700132695,1300402.0819905428,63597.505127984114
M1_R2,2025-11,1169808.382339718,163084.4519347043,1332892.8342744221,36550.3483064023
M1_R2,2025-12,1582796.6838816516,121839.87137991407,1704636.5552615658,29581.474522599503
M2,2025-02,1109195.6759265412,194651.248399724,1303846.9243262652,45202.95295826879
M2,2025-03,1010515.5171637239,280069.68926678447,1290585.2064305085,62059.78037365236
M2,2025-04,844542.3687940057,247818.1145524574,1092360.4833464632,49322.46654566616
M2,2025-05,863908.102848793,219785.3098014015,1083693.4126501945,44534.7180215161
M2,2025-06,1189453.8619590052,318806.9559443677,1508260.817903373,66217.49280597043
M2,2025-07,1370168.3274861337,211759.96680230417,1581928.2942884378,47267.50672817557
M2,2025-08,1149719.8716212148,295405.9182941574,1445125.7899153722,60741.90718301766
M2,2025-09,937038.5039391964,548624.2242067709,1485662.7281459672,119383.29204408055
M2,2025-10,1006104.9406274348,294337.4909064769,1300442.4315339117,62755.770407420125
M2,2025-11,1173391.4751489228,175028.51933992366,1348419.9944888465,39966.568212367376
M2,2025-12,1589016.6092540505,125539.13061083909,1714555.7398648895,31453.723175608484
