month,C0_yuan,C1_yuan,C2_yuan,saving_C0_C1,saving_C0_C2,saving_C0_C2_rate
2,1314592.0601646453,1329701.1212614318,1306128.3428188544,-15109.061096786521,8463.717345790938,0.006438284242132806
3,1283602.0636397407,1277766.531041308,1216347.466041196,5835.532598432619,67254.59759854479,0.05239520837777389
4,1048823.330344258,1067355.4727750914,997984.4040705495,-18532.142430833308,50838.92627370858,0.048472344963018305
5,1108100.892242539,1167520.1351916029,1036892.3927743575,-59419.24294906389,71208.49946818152,0.06426174725306108
6,1433129.416973793,1460562.082398041,1384407.996038122,-27432.66542424797,48721.420935670845,0.03399652561633364
7,1697743.79042024,1716971.1245960656,1566807.4067106172,-19227.334175825585,130936.38370962278,0.07712375945560801
8,1411506.1315850723,1445452.245030717,1360454.1895198137,-33946.11344564473,51051.94206525851,0.036168416787484274
9,1405049.9476598855,1440218.859815221,1342205.592384566,-35168.912155335536,62844.35527531942,0.04472748842842695
10,1294757.4444331636,1305273.5962986166,1238329.45967296,-10516.151865452994,56427.98476020363,0.043581896364308946
11,1404441.3295157321,1448940.381125764,1323033.963774597,-44499.051610031864,81407.36574113509,0.05796423391300034
12,1765557.5777900899,1799601.6247436358,1725189.665603867,-34044.04695354588,40367.91218622285,0.02286411538996677
