date,scope,plan_q0_kwh,final_a_kwh,plan_fee_p_q0,normal_fee_p_a,adjustment_fee,emergency_fee,actual_total,display_window_q0_kwh,display_window_a_kwh,display_window_plan_eq,display_window_adj_eq,omitted_first_slot_pos,included_next_day_first_pos,position,delivery_start,delivery_end,q0,a_final,price
2025-03-20,natural_day_00_24,67453.05918432095,67453.05918432095,42281.365428608144,42281.365428608144,0.0,0.0,42281.365428608144,68102.06356086241,68102.06356086241,42407.62104025642,42407.62104025642,11232,11376,,,,,,
2025-03-20,10:00-10:10,,,,,,,,,,,,,,11292,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0,0.948
2025-03-20,12:00-12:10,,,,,,,,,,,,,,11304,2025-03-20T12:00:00,2025-03-20T12:10:00,580.6123243434026,580.6123243434026,0.4519
2025-03-20,14:00-14:10,,,,,,,,,,,,,,11316,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0,0.9351
2025-03-20,16:00-16:10,,,,,,,,,,,,,,11328,2025-03-20T16:00:00,2025-03-20T16:10:00,501.93337297235416,501.93337297235416,0.8767
2025-03-20,18:00-18:10,,,,,,,,,,,,,,11340,2025-03-20T18:00:00,2025-03-20T18:10:00,0.0,0.0,1.2993
2025-03-20,20:00-20:10,,,,,,,,,,,,,,11352,2025-03-20T20:00:00,2025-03-20T20:10:00,749.4344656602467,749.4344656602467,1.2789
2025-06-21,natural_day_00_24,37140.28403361721,37140.28403361721,18848.58178633622,18848.58178633622,0.0,0.0,18848.58178633622,37310.08387421233,37310.08387421233,19041.791962610252,19041.791962610252,24624,24768,,,,,,
2025-06-21,10:00-10:10,,,,,,,,,,,,,,24684,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0,0.6702
2025-06-21,12:00-12:10,,,,,,,,,,,,,,24696,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0,0.2473
2025-06-21,14:00-14:10,,,,,,,,,,,,,,24708,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0,0.7993
2025-06-21,16:00-16:10,,,,,,,,,,,,,,24720,2025-06-21T16:00:00,2025-06-21T16:10:00,225.50770647832312,225.50770647832312,0.5744
2025-06-21,18:00-18:10,,,,,,,,,,,,,,24732,2025-06-21T18:00:00,2025-06-21T18:10:00,0.0,0.0,1.1314
2025-06-21,20:00-20:10,,,,,,,,,,,,,,24744,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0,1.1611
2025-09-23,natural_day_00_24,69370.17911301924,69370.17911301924,44818.47562168059,44818.47562168059,0.0,3573.6508603243806,48392.12648200498,69331.69033693997,69331.69033693997,44825.630260203856,44825.630260203856,38160,38304,,,,,,
2025-09-23,10:00-10:10,,,,,,,,,,,,,,38220,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0,0.9839
2025-09-23,12:00-12:10,,,,,,,,,,,,,,38232,2025-09-23T12:00:00,2025-09-23T12:10:00,490.92642512692663,490.92642512692663,0.3481
2025-09-23,14:00-14:10,,,,,,,,,,,,,,38244,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0,0.9422
2025-09-23,16:00-16:10,,,,,,,,,,,,,,38256,2025-09-23T16:00:00,2025-09-23T16:10:00,523.201686746325,523.201686746325,0.9325
2025-09-23,18:00-18:10,,,,,,,,,,,,,,38268,2025-09-23T18:00:00,2025-09-23T18:10:00,0.0,0.0,1.3273
2025-09-23,20:00-20:10,,,,,,,,,,,,,,38280,2025-09-23T20:00:00,2025-09-23T20:10:00,0.0,0.0,1.2687
2025-12-21,natural_day_00_24,102068.5738784793,102068.5738784793,77816.25717405316,77816.25717405316,0.0,0.0,77816.25717405316,102030.36030559879,102030.36030559879,77806.19149941533,77806.19149941533,50976,51120,,,,,,
2025-12-21,10:00-10:10,,,,,,,,,,,,,,51036,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0,1.4027
2025-12-21,12:00-12:10,,,,,,,,,,,,,,51048,2025-12-21T12:00:00,2025-12-21T12:10:00,1022.4878392350165,1022.4878392350165,0.6936
2025-12-21,14:00-14:10,,,,,,,,,,,,,,51060,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0,1.3689
2025-12-21,16:00-16:10,,,,,,,,,,,,,,51072,2025-12-21T16:00:00,2025-12-21T16:10:00,859.8827621938966,859.8827621938966,0.98
2025-12-21,18:00-18:10,,,,,,,,,,,,,,51084,2025-12-21T18:00:00,2025-12-21T18:10:00,777.8115332492514,777.8115332492514,1.2957
2025-12-21,20:00-20:10,,,,,,,,,,,,,,51096,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0,1.5137
