date,scope,plan_q0_kwh,final_a_kwh,plan_fee_p_q0,normal_fee_p_a,adjustment_fee,emergency_fee,actual_total,display_window_q0_kwh,display_window_a_kwh,display_window_plan_eq,display_window_adj_eq,omitted_first_slot_pos,included_next_day_first_pos,position,delivery_start,delivery_end,q0,a_final,price
2025-03-20,natural_day_00_24,62675.73143999843,61094.43346659071,40033.06294377526,39478.35635887588,1036.8710790745681,9476.01663587167,49991.24407382212,62498.24402865821,60916.9460552505,39884.3083915311,40366.472885706295,11232,11376,,,,,,
2025-03-20,10:00-10:10,,,,,,,,,,,,,,11292,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0,1.0131
2025-03-20,12:00-12:10,,,,,,,,,,,,,,11304,2025-03-20T12:00:00,2025-03-20T12:10:00,514.0904084748379,549.4083251415045,0.5158
2025-03-20,14:00-14:10,,,,,,,,,,,,,,11316,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0,0.8924
2025-03-20,16:00-16:10,,,,,,,,,,,,,,11328,2025-03-20T16:00:00,2025-03-20T16:10:00,608.162774078018,608.162774078018,0.9089
2025-03-20,18:00-18:10,,,,,,,,,,,,,,11340,2025-03-20T18:00:00,2025-03-20T18:10:00,728.5872161015458,728.5872161015458,1.2488
2025-03-20,20:00-20:10,,,,,,,,,,,,,,11352,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0,1.2233
2025-06-21,natural_day_00_24,40843.28981255325,40479.180301442146,19914.334638651326,19598.460661534104,160.3932922708343,236.87549642036825,19995.729450225303,41019.04658806789,40654.937076956776,20040.322557914435,19884.841873068046,24624,24768,,,,,,
2025-06-21,10:00-10:10,,,,,,,,,,,,,,24684,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0,0.7212
2025-06-21,12:00-12:10,,,,,,,,,,,,,,24696,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0,0.2744
2025-06-21,14:00-14:10,,,,,,,,,,,,,,24708,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0,0.8133
2025-06-21,16:00-16:10,,,,,,,,,,,,,,24720,2025-06-21T16:00:00,2025-06-21T16:10:00,142.53756542841154,100.09603209507816,0.5723
2025-06-21,18:00-18:10,,,,,,,,,,,,,,24732,2025-06-21T18:00:00,2025-06-21T18:10:00,466.36694722731704,413.84509722731696,1.1012
2025-06-21,20:00-20:10,,,,,,,,,,,,,,24744,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0,1.1558
2025-09-23,natural_day_00_24,65041.308435822204,63204.44166468789,42324.07912384701,41042.96115451208,640.5589846674666,12279.506363039898,53963.02650221944,65057.26006487184,63220.39329373753,42341.24666768892,41700.68768302145,38160,38304,,,,,,
2025-09-23,10:00-10:10,,,,,,,,,,,,,,38220,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0,0.9784
2025-09-23,12:00-12:10,,,,,,,,,,,,,,38232,2025-09-23T12:00:00,2025-09-23T12:10:00,367.8476126399729,320.2290408118945,0.3613
2025-09-23,14:00-14:10,,,,,,,,,,,,,,38244,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0,0.9188
2025-09-23,16:00-16:10,,,,,,,,,,,,,,38256,2025-09-23T16:00:00,2025-09-23T16:10:00,464.83420071247656,401.25563404580987,0.8978
2025-09-23,18:00-18:10,,,,,,,,,,,,,,38268,2025-09-23T18:00:00,2025-09-23T18:10:00,-0.0,0.0,1.26
2025-09-23,20:00-20:10,,,,,,,,,,,,,,38280,2025-09-23T20:00:00,2025-09-23T20:10:00,774.7915097401184,774.7915097401184,1.3115
2025-12-21,natural_day_00_24,94000.31301146135,94715.69081897494,70859.89678455945,71486.42572244856,1080.3373154995168,2146.0893612424034,74712.8523991905,94284.47857843613,94999.85638594972,70962.8211928323,72669.68744622095,50976,51120,,,,,,
2025-12-21,10:00-10:10,,,,,,,,,,,,,,51036,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0,1.3753
2025-12-21,12:00-12:10,,,,,,,,,,,,,,51048,2025-12-21T12:00:00,2025-12-21T12:10:00,1000.5559212812484,1004.8865546145817,0.6418
2025-12-21,14:00-14:10,,,,,,,,,,,,,,51060,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0,1.3352
2025-12-21,16:00-16:10,,,,,,,,,,,,,,51072,2025-12-21T16:00:00,2025-12-21T16:10:00,793.1424820618475,809.9832653951809,1.0104
2025-12-21,18:00-18:10,,,,,,,,,,,,,,51084,2025-12-21T18:00:00,2025-12-21T18:10:00,746.0900015410506,746.0158015410506,1.2479
2025-12-21,20:00-20:10,,,,,,,,,,,,,,51096,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0,1.5483
