date,interval,energy_kwh,start_position,end_position_exclusive
2025-03-20,01:10-01:20,31.307803497201256,11239,11240
2025-03-20,01:30-02:10,88.06401264675833,11241,11245
2025-03-20,02:40-02:50,10.622410783785199,11248,11249
2025-03-20,03:20-04:10,175.55975794564256,11252,11257
2025-03-20,04:50-05:00,13.63572528817042,11261,11262
2025-03-20,05:20-05:40,42.02556508202542,11264,11266
2025-03-20,06:00-06:30,88.51879097152232,11268,11271
2025-03-20,06:40-07:10,66.47399423999389,11272,11275
2025-03-20,07:30-07:50,43.490710521167394,11277,11279
2025-03-20,08:00-10:10,859.8080606931127,11280,11293
2025-03-20,14:20-15:00,254.72278333333327,11318,11322
2025-03-20,18:10-18:30,38.34535278651629,11341,11343
2025-03-20,18:40-19:30,111.22799966992613,11344,11349
2025-03-20,20:00-20:30,78.51337923530878,11352,11355
2025-03-20,21:30-22:10,76.10034401750836,11361,11365
2025-06-21,02:00-02:20,9.982494970066455,24636,24638
2025-06-21,02:30-02:40,2.752108042363534,24639,24640
2025-06-21,04:00-04:30,19.655106321408766,24648,24651
2025-06-21,05:00-05:20,8.126538180155762,24654,24656
2025-06-21,07:00-07:10,20.684768904939418,24666,24667
2025-06-21,19:10-19:20,15.628810073300656,24739,24740
2025-09-23,01:50-02:00,9.49990950465617,38171,38172
2025-09-23,02:30-02:50,15.222281580409344,38175,38177
2025-09-23,03:50-04:10,37.84884550722277,38183,38185
2025-09-23,05:10-05:30,58.237014242146756,38191,38193
2025-09-23,05:50-06:40,118.71895501246627,38195,38200
2025-09-23,07:00-07:20,12.139003186182492,38202,38204
2025-09-23,08:00-10:00,287.66309076805305,38208,38220
2025-09-23,10:10-10:20,3.388966666666647,38221,38222
2025-09-23,14:30-15:00,403.62491666666665,38247,38250
2025-09-23,15:10-15:20,7.548037603625289,38251,38252
2025-09-23,16:00-18:00,524.2308014412929,38256,38268
2025-09-23,18:20-19:40,180.93154198212295,38270,38278
2025-09-23,20:00-22:10,700.7695026090711,38280,38293
2025-09-23,22:40-22:50,3.726835845714845,38296,38297
2025-12-21,03:10-03:20,7.243288150456124,50995,50996
2025-12-21,03:40-04:00,72.1455226497103,50998,51000
2025-12-21,06:30-06:40,16.676418969268752,51015,51016
2025-12-21,08:00-08:10,22.4544899916242,51024,51025
2025-12-21,09:00-09:10,15.807454256127698,51030,51031
2025-12-21,10:00-10:10,7.808886241361392,51036,51037
2025-12-21,10:40-11:00,96.34902523561982,51040,51042
2025-12-21,13:10-13:20,6.558397073651895,51055,51056
2025-12-21,14:00-14:10,9.844046974186995,51060,51061
2025-12-21,17:00-17:50,67.350887910908,51078,51083
2025-12-21,18:50-19:10,20.226234767588437,51089,51091
2025-12-21,20:00-20:10,39.77844472684001,51096,51097
