branch,position,delivery_start,delivery_end,q0,a_final,ell,pv,price,c,s,g,w,E_before,E_after,soc_before_pct,soc_after_pct,R,plan_time,version_id,published,normal,adjustment,emergency,total,adjust_up_kwh,adjust_down_kwh
Q42/M0_P1,11232,2025-03-20 00:00:00,2025-03-20 00:10:00,605.388415138198,605.388415138198,549.844816666667,0,0.4487,55.5435984715311,0,0,0,2284.1630424218,2334.15228104618,19.0346920201817,19.4512690087182,,,M0_P1_78,11232,271.637781872509,0,0,271.637781872509,0,0
Q42/M0_P1,11233,2025-03-20 00:10:00,2025-03-20 00:20:00,596.801432847685,596.801432847685,570.3135,0,0.4373,26.4879328476846,0,0,0,2334.15228104618,2357.99142060909,19.4512690087182,19.6499285050758,,,M0_P1_78,11232,260.981266584292,0,0,260.981266584292,0,0
Q42/M0_P1,11234,2025-03-20 00:20:00,2025-03-20 00:30:00,596.432362020788,596.432362020788,613.851666666667,0,0.4311,0,17.4193046458789,0,0,2357.99142060909,2338.63663766923,19.6499285050758,19.4886386472436,,,M0_P1_78,11232,257.121991267162,0,0,257.121991267162,0,0
Q42/M0_P1,11235,2025-03-20 00:30:00,2025-03-20 00:40:00,599.973869716875,599.973869716875,579.456166666667,0,0.4344,20.5177030502084,0,0,0,2338.63663766923,2357.10257041442,19.4886386472436,19.6425214201201,,,M0_P1_78,11232,260.628649005011,0,0,260.628649005011,0,0
Q42/M0_P1,11236,2025-03-20 00:40:00,2025-03-20 00:50:00,597.223355939422,597.223355939422,550.444916666667,0,0.4238,46.7784392727549,0,0,0,2357.10257041442,2399.2031657599,19.6425214201201,19.9933597146658,,,M0_P1_78,11232,253.103258247127,0,0,253.103258247127,0,0
Q42/M0_P1,11237,2025-03-20 00:50:00,2025-03-20 01:00:00,590.521423161439,590.521423161439,571.156666666667,0,0.4296,19.3647564947728,0,0,0,2399.2031657599,2416.63144660519,19.9933597146658,20.1385953883766,,,M0_P1_78,11232,253.688003390154,0,0,253.688003390154,0,0
Q42/M0_P1,11238,2025-03-20 01:00:00,2025-03-20 01:10:00,1422.72448326442,1422.72448326442,601.58905,0,0.4989,821.135433264422,0,0,0,2416.63144660519,3155.65333654317,20.1385953883766,26.2971111378598,,,M0_P1_78,11232,709.79724470062,0,0,709.79724470062,0,0
Q42/M0_P1,11239,2025-03-20 01:10:00,2025-03-20 01:20:00,1415.033777517,1415.033777517,611.48375,0,0.5083,803.550027516996,0,0,0,3155.65333654317,3878.84836130847,26.2971111378598,32.3237363442372,,,M0_P1_78,11232,719.261669111889,0,0,719.261669111889,0,0
Q42/M0_P1,11240,2025-03-20 01:20:00,2025-03-20 01:30:00,1403.99928283784,1403.99928283784,598.216666666667,0,0.4468,805.782616171171,0,0,0,3878.84836130847,4604.05271586252,32.3237363442372,38.367105965521,,,M0_P1_78,11232,627.306879571946,0,0,627.306879571946,0,0
Q42/M0_P1,11241,2025-03-20 01:30:00,2025-03-20 01:40:00,581.020456342748,581.020456342748,583.93595,0,0.4284,0,2.91549365725155,0,0,4604.05271586252,4600.81327846558,38.367105965521,38.3401106538798,,,M0_P1_78,11232,248.909163497233,0,0,248.909163497233,0,0
Q42/M0_P1,11242,2025-03-20 01:40:00,2025-03-20 01:50:00,603.068939120994,603.068939120994,590.99505,0,0.4436,12.0738891209938,0,0,0,4600.81327846558,4611.67977867447,38.3401106538798,38.4306648222873,,,M0_P1_78,11232,267.521381394073,0,0,267.521381394073,0,0
Q42/M0_P1,11243,2025-03-20 01:50:00,2025-03-20 02:00:00,912.986643041066,912.986643041066,598.443333333333,0,0.454,314.543309707732,0,0,0,4611.67977867447,4894.76875741143,38.4306648222873,40.7897396450952,,,M0_P1_78,11232,414.495935940644,0,0,414.495935940644,0,0
Q42/M0_P1,11244,2025-03-20 02:00:00,2025-03-20 02:10:00,1438.59673294208,1438.59673294208,565.983616666667,0,0.4404,833.333333333333,0,0,39.2797829420798,4894.76875741143,5644.76875741143,40.7897396450952,47.0397396450953,,,M0_P1_78,11232,633.558001187692,0,0,633.558001187692,0,0
Q42/M0_P1,11245,2025-03-20 02:10:00,2025-03-20 02:20:00,1423.61630984896,1423.61630984896,546.120766666667,0,0.4405,833.333333333333,0,0,44.1622098489566,5644.76875741143,6394.76875741143,47.0397396450953,53.2897396450953,,,M0_P1_78,11232,627.102984488465,0,0,627.102984488465,0,0
Q42/M0_P1,11246,2025-03-20 02:20:00,2025-03-20 02:30:00,588.507595791726,588.507595791726,565.713333333333,0,0.4545,22.7942624583931,0,0,0,6394.76875741143,6415.28359362398,53.2897396450953,53.4606966135332,,,M0_P1_78,11232,267.47670228734,0,0,267.47670228734,0,0
Q42/M0_P1,11247,2025-03-20 02:30:00,2025-03-20 02:40:00,610.549508109414,610.549508109414,597.926566666667,0,0.4389,12.622941442747,0,0,0,6415.28359362398,6426.64424092246,53.4606966135332,53.5553686743538,,,M0_P1_78,11232,267.970179109222,0,0,267.970179109222,0,0
Q42/M0_P1,11248,2025-03-20 02:40:00,2025-03-20 02:50:00,1458.38959011179,1458.38959011179,600.954466666667,0,0.3868,833.333333333333,0,0,24.1017901117934,6426.64424092246,7176.64424092246,53.5553686743538,59.8053686743538,,,M0_P1_78,11232,564.105093455242,0,0,564.105093455242,0,0
Q42/M0_P1,11249,2025-03-20 02:50:00,2025-03-20 03:00:00,1449.09812154536,1449.09812154536,587.131666666667,0,0.3634,833.333333333333,0,0,28.6331215453559,7176.64424092246,7926.64424092245,59.8053686743538,66.0553686743538,,,M0_P1_78,11232,526.602257369582,0,0,526.602257369582,0,0
Q42/M0_P1,11250,2025-03-20 03:00:00,2025-03-20 03:10:00,1432.10834200448,1432.10834200448,605.2103,0,0.4416,826.898042004475,0,0,0,7926.64424092245,8670.85247872648,66.0553686743538,72.2571039893874,,,M0_P1_78,11232,632.419043829176,0,0,632.419043829176,0,0
Q42/M0_P1,11251,2025-03-20 03:10:00,2025-03-20 03:20:00,592.178136413768,592.178136413768,621.892383333333,0,0.4839,0,29.714246919565,0,0,8670.85247872648,8637.83664881586,72.2571039893874,71.9819720734655,,,M0_P1_78,11232,286.555000210622,0,0,286.555000210622,0,0
Q42/M0_P1,11252,2025-03-20 03:20:00,2025-03-20 03:30:00,602.722837629359,602.722837629359,620.168333333333,0,0.4574,0,17.4454957039741,0,0,8637.83664881586,8618.45276470033,71.9819720734655,71.8204397058361,,,M0_P1_78,11232,275.685425931669,0,0,275.685425931669,0,0
Q42/M0_P1,11253,2025-03-20 03:30:00,2025-03-20 03:40:00,621.160442411332,621.160442411332,616.623083333333,0,0.4575,4.53735907799853,0,0,0,8618.45276470033,8622.53638787053,71.8204397058361,71.8544698989211,,,M0_P1_78,11232,284.180902403184,0,0,284.180902403184,0,0
Q42/M0_P1,11254,2025-03-20 03:40:00,2025-03-20 03:50:00,611.67605252075,611.67605252075,612.46375,0,0.4629,0,0.787697479250369,0,0,8622.53638787053,8621.66116844914,71.8544698989211,71.8471764037428,,,M0_P1_78,11232,283.144844711855,0,0,283.144844711855,0,0
Q42/M0_P1,11255,2025-03-20 03:50:00,2025-03-20 04:00:00,594.516930626077,594.516930626077,603.93,0,0.4426,0,9.41306937392324,0,0,8621.66116844914,8611.20220247811,71.8471764037428,71.7600183539843,,,M0_P1_78,11232,263.133193495102,0,0,263.133193495102,0,0
Q42/M0_P1,11256,2025-03-20 04:00:00,2025-03-20 04:10:00,619.46468857009,619.46468857009,589.79495,0.0003166666666666,0.4023,29.6700552367571,0,0,0,8611.20220247811,8637.90525219119,71.7600183539843,71.9825437682599,,,M0_P1_78,11232,249.210644211747,0,0,249.210644211747,0,0
Q42/M0_P1,11257,2025-03-20 04:10:00,2025-03-20 04:20:00,624.010775816617,624.010775816617,581.46405,0,0.4075,42.5467258166172,0,0,0,8637.90525219119,8676.19730542615,71.9825437682599,72.3016442118846,,,M0_P1_78,11232,254.284391145271,0,0,254.284391145271,0,0
Q42/M0_P1,11258,2025-03-20 04:20:00,2025-03-20 04:30:00,1435.93469826732,1435.93469826732,585.585,0,0.452,833.333333333333,0,0,17.0163649339903,8676.19730542615,9426.19730542615,72.3016442118846,78.5516442118846,,,M0_P1_78,11232,649.04248361683,0,0,649.04248361683,0,0
Q42/M0_P1,11259,2025-03-20 04:30:00,2025-03-20 04:40:00,612.66106628718,612.66106628718,599.72965,0.0045166666666666,0.4646,12.935932953847,0,0,0,9426.19730542615,9437.83964508461,78.5516442118846,78.6486637090384,,,M0_P1_78,11232,284.642331397024,0,0,284.642331397024,0,0
Q42/M0_P1,11260,2025-03-20 04:40:00,2025-03-20 04:50:00,627.676213024138,627.676213024138,616.739316666667,0,0.4561,10.9368963574716,0,0,0,9437.83964508461,9447.68285180634,78.6486637090384,78.7306904317195,,,M0_P1_78,11232,286.283120760309,0,0,286.283120760309,0,0
Q42/M0_P1,11261,2025-03-20 04:50:00,2025-03-20 05:00:00,1457.06676775246,1457.06676775246,625.595,0,0.4379,831.47176775246,0,0,0,9447.68285180634,10196.0074427835,78.7306904317195,84.9667286898629,,,M0_P1_78,11232,638.049537598802,0,0,638.049537598802,0,0
Q42/M0_P1,11262,2025-03-20 05:00:00,2025-03-20 05:10:00,1442.90698278057,1442.90698278057,619.49685,0.0629333333333333,0.4177,671.102841351611,0,0,152.37022476229,10196.0074427835,10800,84.9667286898629,90,,,M0_P1_78,11232,602.702246707443,0,0,602.702246707443,0,0
Q42/M0_P1,11263,2025-03-20 05:10:00,2025-03-20 05:20:00,606.231476229755,606.231476229755,617.8444,0,0.464,0,11.6129237702446,0,0,10800,10787.0967513664,90,89.8924729280533,,,M0_P1_78,11232,281.291404970606,0,0,281.291404970606,0,0
Q42/M0_P1,11264,2025-03-20 05:20:00,2025-03-20 05:30:00,610.819541164026,610.819541164026,607.115,0,0.4802,3.70454116402561,0,0,0,10787.0967513664,10790.430838414,89.8924729280533,89.9202569867835,,,M0_P1_78,11232,293.315543666965,0,0,293.315543666965,0,0
Q42/M0_P1,11265,2025-03-20 05:30:00,2025-03-20 05:40:00,610.181427972628,610.181427972628,576.306633333333,0.876566666666667,0.352,10.6324017622036,0,0,24.1189595437581,10790.430838414,10800,89.9202569867835,90,,,M0_P1_78,11232,214.783862646365,0,0,214.783862646365,0,0
Q42/M0_P1,11266,2025-03-20 05:40:00,2025-03-20 05:50:00,687.526048030487,687.526048030487,671.463116666667,0,0.5794,0,0,0,16.0629313638204,10800,10800,90,90,,,M0_P1_78,11232,398.352592228864,0,0,398.352592228864,0,0
Q42/M0_P1,11267,2025-03-20 05:50:00,2025-03-20 06:00:00,0,0,827.015,0,1.0185,0,827.015,0,0,10800,9881.09444444444,90,82.3424537037037,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11268,2025-03-20 06:00:00,2025-03-20 06:10:00,0,0,817.519966666667,25.5700333333333,0.995,0,791.949933333333,0,0,9881.09444444444,9001.15007407407,82.3424537037037,75.0095839506173,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11269,2025-03-20 06:10:00,2025-03-20 06:20:00,0,0,776.803983333333,66.8406666666667,0.8932,0,709.963316666667,0,0,9001.15007407407,8212.30194444444,75.0095839506173,68.435849537037,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11270,2025-03-20 06:20:00,2025-03-20 06:30:00,0,0,783.958333333333,112.5875,0.9281,0,671.370833333333,0,0,8212.30194444444,7466.33435185185,68.435849537037,62.2194529320988,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11271,2025-03-20 06:30:00,2025-03-20 06:40:00,0,0,787.8168,158.771933333333,0.9231,0,629.044866666667,0,0,7466.33435185185,6767.39561111111,62.2194529320988,56.3949634259259,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11272,2025-03-20 06:40:00,2025-03-20 06:50:00,0,0,803.24555,217.089633333333,0.902,0,586.155916666667,0,0,6767.39561111111,6116.11125925926,56.3949634259259,50.9675938271605,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11273,2025-03-20 06:50:00,2025-03-20 07:00:00,0,0,813.388333333333,282.20625,0.8707,0,531.182083333333,0,0,6116.11125925926,5525.90894444444,50.9675938271605,46.0492412037037,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11274,2025-03-20 07:00:00,2025-03-20 07:10:00,0,0,781.562683333333,334.987183333333,0.7992,0,446.5755,0,0,5525.90894444444,5029.71394444444,46.0492412037037,41.9142828703704,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11275,2025-03-20 07:10:00,2025-03-20 07:20:00,0,0,785.560766666667,384.31915,0.7957,0,401.241616666667,0,0,5029.71394444444,4583.88992592593,41.9142828703704,38.1990827160494,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11276,2025-03-20 07:20:00,2025-03-20 07:30:00,383.822669006057,383.822669006057,804.533333333333,434.95625,0.8046,14.2455856727233,0,0,0,4583.88992592593,4596.71095303138,38.1990827160494,38.3059246085948,,,M0_P1_78,11232,308.823719482273,0,0,308.823719482273,0,0
Q42/M0_P1,11277,2025-03-20 07:30:00,2025-03-20 07:40:00,1136.90428421996,1136.90428421996,763.026,482.3358,0.7001,833.333333333333,0,0,22.8807508866242,4596.71095303138,5346.71095303138,38.3059246085948,44.5559246085948,,,M0_P1_78,11232,795.946689382392,0,0,795.946689382392,0,0
Q42/M0_P1,11278,2025-03-20 07:40:00,2025-03-20 07:50:00,0,0,864.506133333333,529.928066666667,0.8467,0,334.578066666667,0,0,5346.71095303138,4974.95754562397,44.5559246085948,41.4579795468664,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11279,2025-03-20 07:50:00,2025-03-20 08:00:00,0,0,1067.59833333333,579.41875,1.1788,0,488.179583333333,0,0,4974.95754562397,4432.53578636471,41.4579795468664,36.9377982197059,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11280,2025-03-20 08:00:00,2025-03-20 08:10:00,0,0,1109.67476666667,626.870916666667,1.2356,0,482.80385,0,0,4432.53578636471,3896.08706414249,36.9377982197059,32.4673922011874,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11281,2025-03-20 08:10:00,2025-03-20 08:20:00,0,0,1101.10001666667,662.728616666667,1.1876,0,438.3714,0,0,3896.08706414249,3409.00773080915,32.4673922011874,28.4083977567429,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11282,2025-03-20 08:20:00,2025-03-20 08:30:00,0,0,1114.545,703.3875,1.1569,0,411.1575,0,0,3409.00773080915,2952.16606414249,28.4083977567429,24.6013838678541,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11283,2025-03-20 08:30:00,2025-03-20 08:40:00,0,0,1108.296,775.623816666667,1.0869,0,332.672183333333,0,0,2952.16606414249,2582.53030488323,24.6013838678541,21.5210858740269,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11284,2025-03-20 08:40:00,2025-03-20 08:50:00,0,0,1117.58891666667,839.583783333333,1.0527,0,278.005133333333,0,0,2582.53030488323,2273.63571229064,21.5210858740269,18.9469642690886,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11285,2025-03-20 08:50:00,2025-03-20 09:00:00,0,0,1126.30166666667,863.48125,1.068,0,262.820416666667,0,0,2273.63571229064,1981.61302710545,18.9469642690886,16.5134418925454,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11286,2025-03-20 09:00:00,2025-03-20 09:10:00,0,0,1082.36673333333,861.082966666667,1.0672,0,221.283766666667,0,0,1981.61302710545,1735.7421752536,16.5134418925454,14.4645181271133,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11287,2025-03-20 09:10:00,2025-03-20 09:20:00,0,0,1072.73986666667,922.2215,1.0563,0,150.518366666667,0,0,1735.7421752536,1568.49954562397,14.4645181271133,13.0708295468664,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11288,2025-03-20 09:20:00,2025-03-20 09:30:00,0,0,1095.14166666667,1017.95625,1.0344,0,77.1854166666667,0,0,1568.49954562397,1482.73797154989,13.0708295468664,12.3561497629158,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11289,2025-03-20 09:30:00,2025-03-20 09:40:00,0,0,1066.56058333333,1030.46583333333,0.9937,0,36.0947500000001,0,0,1482.73797154989,1442.63269377212,12.3561497629158,12.0219391147676,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11290,2025-03-20 09:40:00,2025-03-20 09:50:00,0,0,1074.32168333333,1033.06433333333,0.9971,0,41.2573499999999,0,0,1442.63269377212,1396.79119377212,12.0219391147676,11.6399266147676,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11291,2025-03-20 09:50:00,2025-03-20 10:00:00,0,0,1116.23833333333,1071.03125,1.0131,0,45.2070833333334,0,0,1396.79119377212,1346.56110117952,11.6399266147676,11.2213425098294,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11292,2025-03-20 10:00:00,2025-03-20 10:10:00,0,0,1096.3326,1112.54135,0.948,16.2087499999999,0,0,0,1346.56110117952,1361.14897617952,11.2213425098294,11.3429081348294,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11293,2025-03-20 10:10:00,2025-03-20 10:20:00,0,0,1074.21286666667,1129.00066666667,0.9058,54.7877999999999,0,0,0,1361.14897617952,1410.45799617952,11.3429081348294,11.7538166348294,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11294,2025-03-20 10:20:00,2025-03-20 10:30:00,0,0,1078.935,1146.5125,0.9279,67.5775,0,0,0,1410.45799617952,1471.27774617952,11.7538166348294,12.2606478848294,,,M0_P1_78,11232,0,0,0,0,0,0
Q42/M0_P1,11295,2025-03-20 10:30:00,2025-03-20 10:40:00,0,0,1075.70588333333,1211.41895,0.927,135.713066666667,0,0,0,1471.27774617952,1593.41950617952,12.2606478848294,13.2784958848294,,,M0_P1_78,11232,0,0,0,0,0,0
