branch,period,segments,initial_energy_kwh,final_energy_kwh,normal_yuan,adjustment_yuan,emergency_yuan,total_yuan,q0_kwh,a_final_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,adjust_up_kwh,adjust_down_kwh,adjust_abs_kwh
Q42/M0_P1,January,4464,6000,10800,1987521.23214906,0,1576339.51854824,3563860.75069731,2304883.11515929,2304883.11515929,53235.2496560553,38800.5522214048,312090.640569706,268916.414644342,0,0,0
Q42/M0_P1,Feb_Dec,48096,10800,1875.68389574504,14013222.4785205,0,689731.897728672,14702954.3762492,21619966.1867674,21619966.1867674,6546900.84513738,5311021.56905511,117919.786450188,2562817.20216861,0,0,0
Q42/M0_P1,Jan_Dec,52560,6000,1875.68389574504,16000743.7106696,0,2266071.41627691,18266815.1269465,23924849.3019266,23924849.3019266,6600136.09479344,5349822.12127651,430010.427019894,2831733.61681295,0,0,0
Q42/R2_P1,January,4464,6000,10800,1987521.23214906,0,1576339.51854824,3563860.75069731,2304883.11515929,2304883.11515929,53235.2496560553,38800.5522214048,312090.640569706,268916.414644342,0,0,0
Q42/R2_P1,Feb_Dec,48096,10800,1235.2640570262,12829806.4380054,0,2922701.17048191,15752507.6084873,20064688.4696665,20064688.4696665,6524337.75732704,5293321.84578357,618363.396357388,1512846.45951378,0,0,0
Q42/R2_P1,Jan_Dec,52560,6000,1235.2640570262,14817327.6701545,0,4499040.68903015,19316368.3591846,22369571.5848258,22369571.5848258,6577573.00698309,5332122.39800498,930454.036927094,1781762.87415812,0,0,0
Q42/M0_P7,January,4464,6000,10800,1987521.23214906,0,1576339.51854824,3563860.75069731,2304883.11515929,2304883.11515929,53235.2496560553,38800.5522214048,312090.640569706,268916.414644342,0,0,0
Q42/M0_P7,Feb_Dec,48096,10800,1879.80463048063,14026384.7452479,0,699815.6396487,14726200.3848966,21629684.602574,21629684.602574,6594417.49583007,5349506.34745492,118200.922296825,2563784.88152904,0,0,0
Q42/M0_P7,Jan_Dec,52560,6000,1879.80463048063,16013905.977397,0,2276155.15819694,18290061.1355939,23934567.7177333,23934567.7177333,6647652.74548612,5388306.89967633,430291.562866532,2832701.29617338,0,0,0
Q43/C0-P1,January,4464,6000,5162.18959439794,1642917.91612635,0,941212.670746726,2584130.58687307,2378263.81647318,2378263.81647318,673975.543775867,546674.219823494,182217.104856396,99392.6254605405,0,0,0
Q43/C0-P1,Feb_Dec,48096,5162.18959439794,1349.12688822005,13038389.4164494,0,2952947.27726019,15991336.6937096,20326558.8504404,20326558.8504404,6422688.41767848,5205809.37475513,619227.279979269,1789953.29586303,0,0,0
Q43/C0-P1,Jan_Dec,52560,6000,1349.12688822005,14681307.3325758,0,3894159.94800691,18575467.2805827,22704822.6669136,22704822.6669136,7096663.96145434,5752483.59457862,801444.384835665,1889345.92132357,0,0,0
Q43/C1-P1,January,4464,6000,5302.1006315729,1642790.89953564,0,968108.81766287,2610899.71719851,2377967.13962051,2377967.13962051,665596.641554785,539761.38909096,189129.93558893,107474.850828952,0,0,0
Q43/C1-P1,Feb_Dec,48096,5302.1006315729,1349.12688822005,13032826.9163752,0,3239112.83838232,16271939.7547575,20313190.4471182,20313190.4471182,6293182.18879434,5101035.24929243,727290.618927609,1909380.33491053,0,0,0
Q43/C1-P1,Jan_Dec,52560,6000,1349.12688822005,14675617.8159109,0,4207221.65604519,18882839.471956,22691157.5867387,22691157.5867387,6958778.83034912,5640796.63838339,916420.554516539,2016855.18573948,0,0,0
Q43/C2-P1,January,4464,6000,5301.37388066087,1709911.49148474,69198.0374326678,493697.836130408,2272807.36504781,2368598.83756064,2430789.59752854,693828.908380619,562630.179295706,103517.30074711,69321.1972740755,105956.067617001,43765.3076491006,149721.375266101
Q43/C2-P1,Feb_Dec,48096,5301.37388066087,1349.1108326645,12901727.8438923,353198.392299168,2000922.63309509,15255848.8692866,20322923.3372479,20098598.7299712,6581566.18020287,5334625.64270753,452475.654069124,1365180.05491164,388468.945239086,612793.55251582,1001262.49775491
Q43/C2-P1,Jan_Dec,52560,6000,1349.1108326645,14611639.3353771,422396.429731836,2494620.46922549,17528656.2343344,22691522.1748086,22529388.3274997,7275395.08858349,5897255.82200323,555992.954816234,1434501.25218572,494425.012856087,656558.860164921,1150983.87302101
Q43/C2-P7,January,4464,6000,5881.31803223032,1710216.04027961,69183.3841322686,495036.825653047,2274436.25006492,2368531.3991424,2431001.27855708,691789.846768382,560456.589653382,103753.154765117,69634.2042905337,106113.409778611,43643.530363931,149756.940142542
Q43/C2-P7,Feb_Dec,48096,5881.31803223032,1349.1108326645,12912066.4203972,354508.619573562,2001091.86182006,15267666.9017908,20338887.470835,20105262.1355185,6656914.48511878,5396179.71942582,452086.523016849,1357660.10120901,389680.189211953,623305.524528474,1012985.71374043
Q43/C2-P7,Jan_Dec,52560,6000,1349.1108326645,14622282.4606768,423692.003705831,2496128.6874731,17542103.1518557,22707418.8699774,22536263.4140755,7348704.33188716,5956636.3090792,555839.677781966,1427294.30549954,495793.598990564,666949.054892405,1162742.65388297
