branch,date,segments,initial_energy_kwh,final_energy_kwh,normal_yuan,adjustment_yuan,emergency_yuan,total_yuan,q0_kwh,a_final_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,adjust_up_kwh,adjust_down_kwh,adjust_abs_kwh
Q42/M0_P1,2025-01-01,144,6000,6000,0,0,432888.799843008,432888.799843008,0,0,0,0,92035.1700166667,0,0,0,0
Q42/M0_P1,2025-01-02,144,6000,4710.6943124074,86423.9077016733,0,0,86423.9077016733,92035.1700166667,92035.1700166667,1633.18878333333,2483.25803333333,0,0,0,0,0
Q42/M0_P1,2025-01-03,144,4710.6943124074,10800,70194.2236261767,0,0,70194.2236261767,92460.2046416667,92460.2046416667,6765.89520843622,0,0,40189.3680665638,0,0,0
Q42/M0_P1,2025-01-04,144,10800,10713.1395061728,56988.3549234672,0,0,56988.3549234672,76808.4502166667,76808.4502166667,0,78.1744444444445,0,32121.0222944444,0,0,0
Q42/M0_P1,2025-01-05,144,10713.1395061728,1200,63100.9199660037,0,71714.7805642049,134815.700530209,69186.5846166667,69186.5846166667,0,8561.82555555555,13287.3001277778,0,0,0,0
Q42/M0_P1,2025-01-06,144,1200,1200,67802.136494766,0,91001.8500046617,158803.986499428,73420.02987,73420.02987,0,0,17212.45123,0,0,0,0
Q42/M0_P1,2025-01-07,144,1200,1200,69866.9209812197,0,85093.9065809181,154960.827562138,76212.3145166667,76212.3145166667,0,0,16354.5864333333,0,0,0,0
Q42/M0_P1,2025-01-08,144,1200,1200,72473.3577658288,0,58585.7860535951,131059.143819424,78489.435052381,78489.435052381,51.3445833333333,41.5891125000001,11046.321735119,0,0,0,0
Q42/M0_P1,2025-01-09,144,1200,1302.86344714286,72171.9098547264,0,67277.4814793429,139449.391334069,78154.3408309524,78154.3408309524,132.77330952381,14.9692782857145,13055.0193169524,0,0,0,0
Q42/M0_P1,2025-01-10,144,1302.86344714286,10800,57612.8304302079,0,0,57612.8304302079,77932.3540785714,77932.3540785714,10552.373947619,0,0,21889.3134142857,0,0,0
Q42/M0_P1,2025-01-11,144,10800,10733.3105820106,58321.7472164745,0,0,58321.7472164745,77889.6634714286,77889.6634714286,0,60.0204761904763,0,33083.7973309524,0,0,0
