branch,month,segments,initial_energy_kwh,final_energy_kwh,normal_yuan,adjustment_yuan,emergency_yuan,total_yuan,q0_kwh,a_final_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,adjust_up_kwh,adjust_down_kwh,adjust_abs_kwh
Q42/M0_P1,2025-01,4464,6000,10800,1987521.23214906,0,1576339.51854824,3563860.75069731,2304883.11515929,2304883.11515929,53235.2496560553,38800.5522214048,312090.640569706,268916.414644342,0,0,0
Q42/M0_P1,2025-02,4032,10800,1957.26420164545,1255724.4140528,0,13610.5360476479,1269334.95010045,1951603.21507715,1951603.21507715,612155.79187077,503804.653633843,2796.66495753422,132169.069731095,0,0,0
Q42/M0_P1,2025-03,4464,1957.26420164545,1685.28105966213,1098173.64041529,0,30529.9207946494,1128703.56120994,1842535.35097236,1842535.35097236,632998.748913971,512973.771448102,5605.70912634281,201798.416166164,0,0,0
Q42/M0_P1,2025-04,4320,1685.28105966213,1975.65077528793,903771.213306128,0,41231.5688386661,945002.782144794,1583990.65345422,1583990.65345422,562489.078604221,455354.820925355,6756.16235503971,265882.959130395,0,0,0
Q42/M0_P1,2025-05,4464,1975.65077528793,2540.55495084494,924081.663201355,0,39788.350441663,963870.013643018,1584499.50771056,1584499.50771056,539706.518099772,436653.865902814,7765.96867432527,302402.359221257,0,0,0
Q42/M0_P1,2025-06,4320,2540.55495084494,1870.09068456545,1362195.38740408,0,163035.951840599,1525231.33924468,2061730.58515939,2061730.58515939,548960.098531932,445261.097650516,26429.4371972755,234467.855291912,0,0,0
Q42/M0_P1,2025-07,4464,1870.09068456545,1759.00271116404,1661473.95210398,0,64711.6564877869,1726185.60859177,2320764.14208985,2320764.14208985,563810.803805653,456786.73025864,9610.22828564552,278531.037311818,0,0,0
Q42/M0_P1,2025-08,4464,1759.00271116404,2538.02599364068,1359989.160713,0,47875.5150055362,1407864.67571853,1964177.09849407,1964177.09849407,565746.508314903,457553.550780843,7159.62393457446,279030.900627915,0,0,0
Q42/M0_P1,2025-09,4320,2538.02599364068,2093.55229188492,1032640.66473369,0,222255.166552207,1254895.8312859,1669492.21149771,1669492.21149771,587480.67026792,476259.369248595,41152.5109509699,211039.554179358,0,0,0
Q42/M0_P1,2025-10,4464,2093.55229188492,2127.38869439472,1109607.2740288,0,26149.6010545827,1135756.87508339,1843223.08726507,1843223.08726507,634356.282147382,513798.135777121,4375.82981553235,251907.179677003,0,0,0
Q42/M0_P1,2025-11,4320,2127.38869439472,2370.60717567879,1344137.12617593,0,3306.36325323691,1347443.48942917,2075426.75498174,2075426.75498174,617605.115055236,500041.246561586,625.411602584538,170515.890107343,0,0,0
