t,interval,balance_marginal,state_marginal,soc_start_lower_marginal,soc_start_upper_marginal,soc_end_lower_marginal,soc_end_upper_marginal,charge_upper_marginal,discharge_upper_marginal
1,00:00-00:10,0.4248,-0.47544444444444445,0.0,-0.47544444444444445,0.0,0.0,-0.0030999999999999917,0.0
2,00:10-00:20,0.4245,-0.47544444444444445,0.0,0.0,0.0,0.0,-0.003400000000000014,0.0
3,00:20-00:30,0.4269,-0.47544444444444445,0.0,0.0,0.0,0.0,-0.0010000000000000009,0.0
4,00:30-00:40,0.4272,-0.47544444444444445,0.0,0.0,0.0,0.0,-0.0006999999999999784,0.0
5,00:40-00:50,0.4271,-0.47544444444444445,0.0,0.0,0.0,0.0,-0.0008000000000000229,0.0
6,00:50-01:00,0.4285,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
7,01:00-01:10,0.4311,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
8,01:10-01:20,0.4302,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
9,01:20-01:30,0.4279,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
10,01:30-01:40,0.4312,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
11,01:40-01:50,0.4333,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
12,01:50-02:00,0.4311,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
13,02:00-02:10,0.4293,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
14,02:10-02:20,0.4324,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
15,02:20-02:30,0.4367,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
16,02:30-02:40,0.4348,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
17,02:40-02:50,0.4335,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
18,02:50-03:00,0.4357,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
19,03:00-03:10,0.4374,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
20,03:10-03:20,0.4371,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
21,03:20-03:30,0.4356,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
22,03:30-03:40,0.4353,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
23,03:40-03:50,0.436,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
24,03:50-04:00,0.4378,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
