t,source_timestamp,canonical_start,canonical_end,price,load_power,pv_power,load_energy,pv_energy,q,c,s,w,E_start,E_end,charge_power,discharge_power,purchase_cost
1,00:10,00:00,00:10,0.42480000000000001,3439.8465999999999,0,573.30776666666657,0,1406.6410999999998,833.33333333333326,0,0,6000,6750,5000,0,597.54113927999992
2,00:20,00:10,00:20,0.42449999999999999,3437.9792000000002,0,572.99653333333333,0,1406.3298666666665,833.33333333333326,0,0,6750,7500,5000,0,596.98702839999987
3,00:30,00:20,00:30,0.4269,3444.3031000000001,0,574.05051666666668,0,1407.3838499999999,833.33333333333326,0,0,7500,8250,5000,0,600.81216556499999
4,00:40,00:30,00:40,0.42720000000000002,3454.4436999999998,0,575.7406166666666,0,1409.07395,833.33333333333326,0,0,8250,9000,5000,0,601.95639144000006
5,00:50,00:40,00:50,0.42709999999999998,3458.8272999999999,0,576.47121666666658,0,1409.8045499999998,833.33333333333326,0,0,9000,9750,5000,0,602.12752330499995
6,01:00,00:50,01:00,0.42849999999999999,3459.8400999999999,0,576.64001666666661,0,576.64001666666661,0,0,0,9750,9750,0,0,247.09024714166665
7,01:10,01:00,01:10,0.43109999999999998,3467.1581999999999,0,577.85969999999998,0,577.85969999999998,0,0,0,9750,9750,0,0,249.11531666999997
8,01:20,01:10,01:20,0.43020000000000003,3467.9632000000001,0,577.99386666666669,0,577.99386666666669,0,0,0,9750,9750,0,0,248.65296144000001
9,01:30,01:20,01:30,0.4279,3466.9683,0,577.82804999999996,0,911.16138333333333,333.33333333333331,0,0,9750,10050,2000,0,389.88595592833332
10,01:40,01:30,01:40,0.43120000000000003,3482.4926999999998,0,580.41544999999996,0,580.41544999999996,0,0,0,10050,10050,0,0,250.27514203999999
11,01:50,01:40,01:50,0.43330000000000002,3495.0841,0,582.51401666666663,0,582.51401666666663,0,0,0,10050,10050,0,0,252.40332342166667
12,02:00,01:50,02:00,0.43109999999999998,3498.4443000000001,0,583.07404999999994,0,583.07404999999994,0,0,0,10050,10050,0,0,251.36322295499997
13,02:10,02:00,02:10,0.42930000000000001,3505.2294999999999,0,584.20491666666658,0,584.20491666666658,0,0,0,10050,10050,0,0,250.79917072499998
