day_index,date,plan_cost,emg_cost,total_cost,e0,e_end,lp_status,lp_usable,wall_s,fallback,n_warn_slots,simul_cs_plan,pool_size
31,2025-02-01T00:00:00,20571.2325297,0,20571.2325297,10800,2710.96047779,0,1,0.0121535,0,0,0,10
32,2025-02-02T00:00:00,57760.5401469,0,57760.5401469,2710.96047779,2664.49304717,0,1,0.0083478,0,0,0,11
33,2025-02-03T00:00:00,55334.2272466,0,55334.2272466,2664.49304717,1839.80492191,0,1,0.0079037,0,0,0,12
34,2025-02-04T00:00:00,56044.0597637,0,56044.0597637,1839.80492191,1964.46988089,0,1,0.0074117,0,0,0,13
35,2025-02-05T00:00:00,55285.3144472,104.647967132,55389.9624144,1964.46988089,1838.43137871,0,1,0.0083018,0,0,0,14
36,2025-02-06T00:00:00,56104.5375212,216.064699056,56320.6022203,1838.43137871,1785.03620036,0,1,0.0085172,0,0,0,15
37,2025-02-07T00:00:00,21732.110144,0,21732.110144,1785.03620036,1371.98857429,0,1,0.0075969,0,0,0,16
38,2025-02-08T00:00:00,19802.4920286,410.893576428,20213.385605,1371.98857429,1246.54182923,0,1,0.0116474,0,0,0,17
39,2025-02-09T00:00:00,54267.9152892,31.4808364084,54299.3961256,1246.54182923,1576.9666332,0,1,0.0078301,0,0,0,18
40,2025-02-10T00:00:00,54803.1664312,0,54803.1664312,1576.9666332,1516.47073387,0,1,0.0074797,0,0,0,19
41,2025-02-11T00:00:00,53710.9000515,24.1613148925,53735.0613664,1516.47073387,1418.68724053,0,1,0.0074628,0,0,0,20
42,2025-02-12T00:00:00,51711.757165,906.762981262,52618.5201463,1418.68724053,1328.67980152,0,1,0.007241,0,0,0,21
43,2025-02-13T00:00:00,52320.4991156,0,52320.4991156,1328.67980152,1647.77189324,0,1,0.00927,0,0,0,22
44,2025-02-14T00:00:00,18250.4270764,943.0251829,19193.4522593,1647.77189324,1200,0,1,0.0068538,0,0,0,23
45,2025-02-15T00:00:00,18216.6396848,2230.38958206,20447.0292669,1200,1200,0,1,0.0073381,0,0,0,24
46,2025-02-16T00:00:00,49383.785128,3797.30691276,53181.0920408,1200,1452.81645468,0,1,0.007423,0,0,0,25
47,2025-02-17T00:00:00,50348.2419469,49.7108304881,50397.9527774,1452.81645468,1451.80331674,0,1,0.0076288,0,0,0,26
48,2025-02-18T00:00:00,49363.1007537,182.814911102,49545.9156648,1451.80331674,1737.34219816,0,1,0.008096,0,0,0,27
49,2025-02-19T00:00:00,48915.7594705,368.082568108,49283.8420386,1737.34219816,1255.60961669,0,1,0.0074055,0,0,0,28
50,2025-02-20T00:00:00,49044.7326221,109.780517986,49154.5131401,1255.60961669,1811.32464443,0,1,0.0080156,0,0,0,29
51,2025-02-21T00:00:00,18197.1511467,0,18197.1511467,1811.32464443,1629.05733578,0,1,0.0077154,0,0,0,30
52,2025-02-22T00:00:00,18425.4092429,0,18425.4092429,1629.05733578,1871.49491716,0,1,0.0078885,0,0,0,31
53,2025-02-23T00:00:00,48996.3527987,43.0634489668,49039.4162476,1871.49491716,1878.51000796,0,1,0.0078106,0,0,0,32
54,2025-02-24T00:00:00,47579.9838989,232.993697443,47812.9775963,1878.51000796,1794.29981282,0,1,0.0081667,0,0,0,33
55,2025-02-25T00:00:00,47671.0693069,230.398063532,47901.4673704,1794.29981282,1778.7643081,0,1,0.0075114,0,0,0,34
56,2025-02-26T00:00:00,46799.9710173,0,46799.9710173,1778.7643081,1991.88733612,0,1,0.0074603,0,0,0,35
57,2025-02-27T00:00:00,45874.6971157,2993.08954083,48867.7866565,1991.88733612,2037.9480718,0,1,0.0073696,0,0,0,36
58,2025-02-28T00:00:00,18015.5304624,0,18015.5304624,2037.9480718,1942.07680649,0,1,0.0092417,0,0,0,37
59,2025-03-01T00:00:00,18468.2547231,0,18468.2547231,1942.07680649,2278.17497279,0,1,0.0074688,0,0,0,38
60,2025-03-02T00:00:00,48358.2595338,6410.06883405,54768.3283679,2278.17497279,1864.9840092,0,1,0.0080509,0,0,0,39
61,2025-03-03T00:00:00,47085.4557703,6070.17217151,53155.6279419,1864.9840092,1479.15773007,0,1,0.0081756,0,0,0,40
62,2025-03-04T00:00:00,49107.7728205,0,49107.7728205,1479.15773007,1736.43086109,0,1,0.0078662,0,0,0,41
63,2025-03-05T00:00:00,48564.874144,0,48564.874144,1736.43086109,1904.50266835,0,1,0.009036,0,0,0,42
64,2025-03-06T00:00:00,45520.9324572,0,45520.9324572,1904.50266835,1346.61925236,0,1,0.0075926,0,0,0,43
65,2025-03-07T00:00:00,17001.1036448,0,17001.1036448,1346.61925236,1631.68774305,0,1,0.0075047,0,0,0,44
66,2025-03-08T00:00:00,16176.9415306,785.371513775,16962.3130444,1631.68774305,1456.78192864,0,1,0.0075368,0,0,0,45
67,2025-03-09T00:00:00,45355.8701587,0,45355.8701587,1456.78192864,1924.67095832,0,1,0.0081218,0,0,0,46
68,2025-03-10T00:00:00,43860.6566075,2349.50020319,46210.1568107,1924.67095832,1494.32611293,0,1,0.0080264,0,0,0,47
69,2025-03-11T00:00:00,45506.7631619,0,45506.7631619,1494.32611293,2143.94571252,0,1,0.0075085,0,0,0,48
70,2025-03-12T00:00:00,43845.9702272,0,43845.9702272,2143.94571252,1543.29956617,0,1,0.0077753,0,0,0,49
71,2025-03-13T00:00:00,43177.7913087,8142.59876082,51320.3900695,1543.29956617,1463.68621978,0,1,0.0100947,0,0,0,50
72,2025-03-14T00:00:00,16410.9901176,0,16410.9901176,1463.68621978,1932.41320347,0,1,0.0083654,0,0,0,51
73,2025-03-15T00:00:00,15851.9039063,1737.81611611,17589.7200224,1932.41320347,1361.76831138,0,1,0.0096769,0,0,0,52
74,2025-03-16T00:00:00,44408.0728362,7.46118,44415.5340162,1361.76831138,2265.68718085,0,1,0.008601,0,0,0,53
75,2025-03-17T00:00:00,44064.4804434,0,44064.4804434,2265.68718085,2229.43757844,0,1,0.0079797,0,0,0,54
76,2025-03-18T00:00:00,41052.0512919,3283.14381517,44335.1951071,2229.43757844,1673.03435099,0,1,0.0085261,0,0,0,55
77,2025-03-19T00:00:00,41392.1861003,1682.92104565,43075.107146,1673.03435099,2169.05096281,0,1,0.0082547,0,0,0,56
78,2025-03-20T00:00:00,40958.5651771,0,40958.5651771,2169.05096281,1813.40873711,0,1,0.0083234,0,0,0,57
79,2025-03-21T00:00:00,15400.0643565,965.411110396,16365.4754668,1813.40873711,1509.41613325,0,1,0.0079737,0,0,0,58
80,2025-03-22T00:00:00,15904.7239454,0,15904.7239454,1509.41613325,2175.46888573,0,1,0.0087784,0,0,0,59
81,2025-03-23T00:00:00,41112.4169342,0,41112.4169342,2175.46888573,1998.07060348,0,1,0.0080502,0,0,0,60
82,2025-03-24T00:00:00,40286.4350911,0,40286.4350911,1998.07060348,2067.11372907,0,1,0.0084788,0,0,0,61
83,2025-03-25T00:00:00,40032.33645,0,40032.33645,2067.11372907,1497.67505426,0,1,0.0079009,0,0,0,62
84,2025-03-26T00:00:00,40200.5626206,0,40200.5626206,1497.67505426,1870.72171185,0,1,0.0080014,0,0,0,63
85,2025-03-27T00:00:00,40321.19511,0,40321.19511,1870.72171185,1825.16656621,0,1,0.0082894,0,0,0,64
86,2025-03-28T00:00:00,15229.4017634,0,15229.4017634,1825.16656621,1952.03327176,0,1,0.0083594,0,0,0,65
87,2025-03-29T00:00:00,15388.0617548,0,15388.0617548,1952.03327176,2169.01939723,0,1,0.0074994,0,0,0,66
88,2025-03-30T00:00:00,38208.0511854,0,38208.0511854,2169.01939723,2013.36318242,0,1,0.0074767,0,0,0,67
89,2025-03-31T00:00:00,37715.1188699,553.350738804,38268.4696087,2013.36318242,1667.18486881,0,1,0.0074384,0,0,0,68
90,2025-04-01T00:00:00,38275.4933375,5209.33422464,43484.8275621,1667.18486881,1769.36129456,0,1,0.0075095,0,0,0,69
91,2025-04-02T00:00:00,38236.8311693,7918.76225945,46155.5934288,1769.36129456,1860.52684575,0,1,0.0077423,0,0,0,70
92,2025-04-03T00:00:00,39791.2516918,0,39791.2516918,1860.52684575,1969.19492986,0,1,0.0076855,0,0,0,71
93,2025-04-04T00:00:00,14796.0697237,0,14796.0697237,1969.19492986,2040.70139504,0,1,0.0072933,0,0,0,72
94,2025-04-05T00:00:00,14845.9623691,0,14845.9623691,2040.70139504,1847.67880831,0,1,0.007821,0,0,0,73
95,2025-04-06T00:00:00,39311.8566718,0,39311.8566718,1847.67880831,1982.23381833,0,1,0.0080739,0,0,0,74
96,2025-04-07T00:00:00,38371.9221804,0,38371.9221804,1982.23381833,1831.88795574,0,1,0.0076291,0,0,0,75
97,2025-04-08T00:00:00,38907.6118115,0,38907.6118115,1831.88795574,1869.37821043,0,1,0.008513,0,0,0,76
98,2025-04-09T00:00:00,38101.0943435,1940.94375805,40042.0381016,1869.37821043,1556.589971,0,1,0.0073502,0,0,0,77
99,2025-04-10T00:00:00,38568.275391,0,38568.275391,1556.589971,2069.41537223,0,1,0.0077999,0,0,0,78
100,2025-04-11T00:00:00,14231.6498781,0,14231.6498781,2069.41537223,1749.2909246,0,1,0.0071515,0,0,0,79
