day_index,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
31,2025-02-01T00:00:00,13.6856818747,15.7874068828,20.6521651902,23.6034432702,26.4474084977,30.9034125177,33.8478535273,31.2538420103,26.9416259174,29.3683382388,27.2002330279,28.799246115,28.799246115,32.365045157,31.493190671,34.8261772848,35.1880124524,34.9080805494,30.3609608623,26.7995459507,24.4283981551,24.0502105794,23.0172562477,23.8844940456,23.9284997914,23.9284997914,24.9885555841,24.9885555841,20.1860138496,18.7579542041,19.2088677412,22.4767698067,28.8733286162,25.4880679335,22.9354721884,23.5302703139,22.5920125859,21.4908944426,22.6670920402,25.3225945369,22.5769089309,25.4637652135,28.4446995031,31.5653407749,25.5612056443,16.0674043625,14.0257670269,9.41168036179,8.80830267281,17.4957568498,24.636384842,28.2444782673,32.0216306597,36.7613662831,36.3440932373,41.0633624235,48.9469272447,48.9469272447,50.4691391,56.2997631265,66.2574482469,66.2574482469,65.5747560505,58.9944622422,62.1633339269,71.2170918375,78.832949508,92.507632491,96.9079691836,99.0387421081,104.925681425,122.248616608,129.277946244,136.742789071,140.481314017,147.741467892,130.64963835,115.866185261,93.7612883886,79.4992137645,72.8820171356,45.1558955405,46.7197982878,47.7950953525,46.7197982878,42.3732032811,43.8094267674,40.6630490442,37.2186747397,37.2186747397,36.2530416893,33.7248762781,19.7139306645,16.5773534614,13.4913207499,10.829944349,10.829944349,10.829944349,16.9011091258,24.4509070908,29.7799216559,29.7799216559,35.4201676708,37.669468447,35.7174411572,35.7174411572,35.0354359842,29.3935322908,23.6904840243,26.8803838162,27.3353544199,28.5281914665,27.6982183023,27.7597643934,28.8757488427,28.0014912449,28.0014912449,29.8601421317,28.0014912449,26.3916617951,24.6665429338,24.6665429338,21.6673460631,20.2360827484,15.476776033,11.5494185825,15.0946035564,20.4238510781,38.5893473464,40.55875261,40.55875261,39.4406364724,40.55875261,39.4570590417,21.4420086231,21.1396247369,18.1285639372,16.9050188866,16.9050188866,13.0388093044,16.1281045397,17.3380845292,16.1281045397,16.1281045397
32,2025-02-02T00:00:00,12.9253334636,14.9834356711,19.5282325785,23.3552175837,24.77043555,28.0042476303,31.2538420103,30.7004021945,26.3426601162,27.2826485695,26.3426601162,27.2002330279,27.2002330279,31.493190671,29.2393062362,33.5342425132,34.8261772848,32.670533106,26.7995459507,26.2617561271,24.4283981551,24.0502105794,23.0172562477,23.8844940456,23.0172562477,23.0172562477,23.9284997914,22.7249656748,18.7579542041,18.2993913976,18.2993913976,19.5195826364,25.4880679335,23.2299524967,22.1072100441,22.9354721884,20.3177433588,20.239726665,22.4878263701,23.2009861695,22.4878263701,23.2362788387,27.2486810688,28.1332696365,22.013361959,10.3975865209,10.3975865209,8.60383198575,8.60383198575,16.0393255435,23.4417929619,28.2444782673,31.8586625076,34.7369549523,34.7369549523,40.2853893024,44.1905183747,44.1905183747,48.9469272447,52.0646181244,62.1273533849,62.1273533849,62.1273533849,55.2299905261,58.9944622422,70.5705888861,77.5293243269,90.7603689046,94.5066902028,96.9079691836,99.0605306172,115.588701994,125.864355613,129.715007114,134.054610962,139.621514385,118.470675298,108.845483043,86.0540675121,78.1408270778,56.4126078537,42.7520535041,42.3732032811,46.7197982878,42.3732032811,32.5708010684,27.9829468709,36.958931165,36.2530416893,36.2530416893,36.2530416893,33.7248762781,22.6563746214,17.5954057457,15.606049561,10.829944349,5.85163616146,6.4848021208,15.4794493715,20.8972805546,27.5125277119,27.5125277119,33.3852431281,37.2784105805,35.0354359842,35.0354359842,33.0924859291,26.9629540476,22.9449828304,26.6270242954,26.8803838162,27.3353544199,27.1432476516,27.1432476516,28.8757488427,29.5722716949,29.5722716949,31.0242653518,29.5722716949,26.3916617951,23.0505674448,23.0505674448,21.5404940585,18.0782571666,14.0202385192,11.5494185825,15.0946035564,20.4238510781,37.4711495672,39.4406364724,39.4406364724,39.1625141223,39.4406364724,39.0036603157,20.0304928827,21.1396247369,18.1285639372,16.9050188866,16.9050188866,13.0388093044,12.8378323197,16.1281045397,14.5573239644,14.9816025468
33,2025-02-03T00:00:00,11.8882411379,14.3629168491,17.3698976733,22.6990101238,23.6034432702,26.4474084977,30.4136654424,30.3977422573,25.786350071,26.3426601162,25.786350071,26.3426601162,25.9059559524,29.5689684024,26.0249360811,33.5342425132,34.8261772848,32.670533106,26.7995459507,26.2617561271,24.0502105794,23.0586853811,21.2646303412,23.0172562477,22.3836050567,22.3836050567,22.5735660319,20.1860138496,18.2993913976,17.6063179167,17.6063179167,18.6090348074,22.4767698067,22.1072100441,20.1965427233,20.3848383958,15.5801001099,19.8110720819,21.8377742823,22.5769089309,21.8377742823,22.5398177522,25.4637652135,27.2486810688,14.9202536251,8.44662579306,10.3975865209,10.3975865209,9.79420883193,16.0393255435,23.4417929619,28.2444782673,30.6819789385,32.6163467749,32.6163467749,35.692220629,41.2288874091,41.2288874091,47.8502049858,50.4691391,53.521515689,58.9944622422,58.9944622422,53.2502904643,55.2299905261,66.6736969982,73.5162418195,82.1943719893,92.507632491,93.05188895,96.9079691836,109.460277901,122.248616608,125.973620831,129.715007114,130.64963835,115.866185261,103.363414012,79.9040123998,77.401153369,48.7044024924,41.5434917692,40.6828655024,42.3732032811,32.5708010684,27.2139808346,22.7771560495,26.5913051001,26.5913051001,30.6202769948,30.6202769948,30.0044696154,19.5809688839,17.0209272779,13.4913207499,5.85163616146,3.6321516343,4.80057897461,12.1480363941,18.0888188626,24.4509070908,23.3214600021,32.698517308,35.4201676708,33.3852431281,33.0924859291,29.3386620906,23.6904840243,21.8659299724,26.6270242954,26.8803838162,27.3353544199,27.1432476516,27.1432476516,27.7597643934,28.0014912449,28.0014912449,29.5722716949,28.0014912449,25.7645508452,22.2649047251,22.2649047251,20.2360827484,17.2277967484,13.4881103308,10.2168145487,13.5751585937,18.2281109254,28.6054061602,39.1625141223,39.1625141223,33.9135646313,39.1625141223,33.8740760929,17.9338363514,17.9338363514,16.9050188866,16.4595379648,15.9866008282,10.4044315061,11.9927826285,14.1330453819,13.0611602683,13.7087667994
34,2025-02-04T00:00:00,12.5796360217,14.4967238041,17.3698976733,21.7818100516,23.3552175837,24.77043555,28.0042476303,28.0042476303,24.8213711241,25.786350071,24.8213711241,25.786350071,25.4170047724,28.799246115,23.8560482136,32.365045157,32.670533106,32.670533106,31.6401144628,30.2021495878,24.9010112154,24.0502105794,21.2646303412,23.0172562477,22.3836050567,22.3836050567,22.5735660319,20.1860138496,18.2935551307,14.8493890363,14.3200438947,18.2993913976,19.5195826364,19.5195826364,19.0889897243,19.0889897243,13.5057481325,14.5522105578,21.3214268246,22.4878263701,21.3404985793,21.8377742823,23.2362788387,25.4637652135,10.3390425042,8.00833801208,8.44662579306,8.60383198575,8.60383198575,15.6858388375,19.3063445526,27.3457439407,29.8603452004,32.6163467749,32.6163467749,35.692220629,41.2288874091,41.2288874091,43.9940677533,48.9469272447,50.4691391,58.9944622422,58.9944622422,53.2846883883,55.2299905261,66.6736969982,72.5852744888,78.832949508,90.7603689046,90.7603689046,93.05188895,102.607615105,115.588701994,122.248616608,125.973620831,118.470675298,108.845483043,103.282830433,84.6610776629,77.401153369,56.4126078537,42.7520535041,40.6828655024,37.6743727217,30.9783482121,27.2139808346,21.5363121633,24.7471858766,28.8116289016,30.6202769948,30.6202769948,30.0044696154,22.554383926,17.0209272779,13.1799927481,10.829944349,5.85163616146,10.829944349,18.0888188626,26.2781659012,27.5125277119,27.5125277119,32.698517308,35.1064880859,33.3852431281,33.0924859291,30.4034757655,23.6904840243,22.9449828304,26.8803838162,26.8803838162,27.3353544199,27.1432476516,26.8803838162,27.7597643934,28.0014912449,28.0014912449,29.5722716949,28.0014912449,25.1712960634,21.871497518,21.871497518,20.2360827484,17.2277967484,14.5133096784,13.5751585937,14.559761275,16.6637952153,20.6046800513,38.5884476937,33.9135646313,27.6801870027,39.0036603157,30.2101787199,20.0304928827,21.1396247369,21.7112642882,18.1285639372,17.0242980134,12.9594784769,11.9927826285,14.1330453819,13.3849635338,14.5573239644
35,2025-02-05T00:00:00,13.2710309055,14.6305307591,17.3698976733,20.6521651902,23.0822960824,23.6034432702,25.1706953222,26.463202392,24.0659832103,24.8213711241,24.0659832103,23.921090528,23.8560482136,26.0249360811,22.3547535586,31.493190671,31.6148661117,31.6148661117,30.2021495878,27.7312018935,24.4283981551,23.0586853811,18.5444417632,21.2646303412,21.1537077873,21.1537077873,21.1537077873,18.7579542041,18.225465776,13.6705043189,8.12198888938,17.6063179167,18.3770701214,17.741987812,16.5601613857,16.5601613857,13.3648510085,13.3648510085,20.239726665,21.8377742823,21.2371566047,21.3404985793,22.5398177522,23.2362788387,11.017611288,8.44662579306,9.75938034081,11.0761553047,10.4727776157,15.6858388375,17.4957568498,27.3457439407,29.8603452004,32.2445046589,33.086618336,40.2853893024,44.1905183747,44.1905183747,47.8502049858,48.9469272447,48.1611247591,54.0489061676,55.2299905261,52.9636188557,54.6768181673,66.6736969982,72.5852744888,77.5293243269,80.8879760322,80.8879760322,76.9209821843,98.4810140373,103.770390034,115.588701994,117.748139515,115.866185261,106.768361788,106.329345992,92.9253541432,83.1946651617,77.5456053475,70.0842146429,55.0192700187,48.7065926633,47.7950953525,46.7634031554,46.7634031554,43.6216731392,40.6536098003,40.6536098003,37.2186747397,36.2087558399,23.5502685752,19.5809688839,15.606049561,12.2666449185,13.3299292482,17.4207476736,20.6147316143,26.2781659012,26.5841239833,26.5841239833,30.8387525542,33.3852431281,32.698517308,30.8842208534,28.892018227,22.9449828304,22.9449828304,26.8803838162,26.8803838162,27.3353544199,27.1432476516,26.2342644419,26.3680173787,27.541199994,27.541199994,28.0014912449,27.2614859145,25.1712960634,21.871497518,21.871497518,18.0782571666,15.5001927238,14.0202385192,11.5494185825,13.5751585937,15.5260483015,18.2281109254,37.4711495672,33.9135646313,33.9135646313,39.4406364724,39.0036603157,26.4565311869,26.4565311869,21.7112642882,17.0242980134,16.8039505871,10.4044315061,10.4044315061,12.4135537372,12.0897504716,13.3849635338
36,2025-02-06T00:00:00,15.7874068828,17.3698976733,19.6244091524,21.7818100516,23.0822960824,23.3552175837,24.4512572562,24.930547165,24.0659832103,24.8213711241,24.0659832103,23.921090528,25.3018133601,25.3018133601,22.3547535586,27.0889154906,27.1193343508,27.1193343508,26.7995459507,26.2617561271,24.0502105794,22.8922176003,21.2646303412,22.8922176003,22.3836050567,22.3836050567,21.1537077873,18.7579542041,18.225465776,13.6705043189,11.287320674,17.6063179167,17.6063179167,16.2657209131,16.5601613857,19.0889897243,15.017995419,17.5175310477,21.3214268246,21.8377742823,21.2371566047,21.8377742823,23.2362788387,25.4637652135,16.4912732102,11.0761553047,11.4285917448,13.8161303246,11.4285917448,15.6858388375,17.0103646824,26.843330298,28.9846522825,32.2445046589,33.3619828528,41.0633624235,49.3290253618,49.3290253618,51.6108845634,51.7673138079,51.7673138079,58.9944622422,58.9944622422,55.2299905261,56.628423281,65.0862378707,70.9098247591,77.5293243269,90.7603689046,90.7603689046,93.05188895,102.607615105,103.770390034,108.494832408,115.866185261,108.845483043,106.329345992,103.193222379,86.116290034,82.6636132736,76.7129204071,55.9339522199,48.7044024924,47.7950953525,47.7950953525,46.7634031554,46.7634031554,43.6216731392,40.6536098003,37.2186747397,36.3356418663,33.7248762781,22.7802589623,17.5954057457,14.0233925263,12.2077701503,12.6223814509,17.4207476736,20.2098651033,24.298898338,24.3502147811,24.2420690189,30.8387525542,35.1064880859,33.3852431281,33.0924859291,30.8842208534,26.9629540476,23.6904840243,27.3353544199,27.3353544199,27.3353544199,26.8803838162,25.6434736544,25.6434736544,26.3565733351,26.3565733351,27.2614859145,26.2866448153,24.6665429338,21.5943152803,21.5943152803,17.2277967484,14.5133096784,13.4881103308,10.6659725937,13.2385836615,13.7664882976,16.6637952153,33.5267713292,27.6801870027,27.6801870027,39.1625141223,33.8740760929,23.2616028688,23.2616028688,21.2643017872,17.3047183535,16.8039505871,10.7714708314,10.7714708314,12.4135537372,12.4135537372,14.1330453819
37,2025-02-07T00:00:00,19.0157378994,19.4151326917,19.9289649957,22.6990101238,23.0822960824,23.3552175837,24.4512572562,24.7327522605,23.494297537,24.0659832103,23.494297537,23.4045866848,23.8435109391,23.8435109391,20.6565112909,25.4873383947,25.4873383947,24.3931650809,24.3931650809,25.11433822,22.0676733543,20.1845709109,19.7939046781,21.2646303412,21.1537077873,21.1537077873,19.9062701708,18.5080110162,15.0041760011,13.3836285028,7.55927704951,16.2657209131,16.2657209131,15.4977443051,15.4977443051,16.5601613857,13.9700491885,14.4544069229,20.239726665,21.3214268246,20.239726665,21.3404985793,22.5398177522,23.2362788387,13.7676653938,11.0761553047,13.8161303246,15.5172127693,13.8698784325,16.8014726652,17.0828812872,24.636384842,27.486949928,31.3692525013,32.7836173491,40.2853893024,48.7315320006,48.7315320006,50.4691391,51.6108845634,51.6108845634,54.0489061676,55.2299905261,53.2846883883,55.7627563896,59.7251882281,66.6736969982,74.5245716456,80.8879760322,80.8879760322,86.4448179796,98.4810140373,90.2636279471,106.768361788,114.462028253,106.768361788,103.193222379,102.129074074,84.6610776629,82.6636132736,76.7129204071,70.0842146429,55.0192700187,48.850855527,48.005580539,46.7634031554,46.7634031554,43.6216731392,41.1559995636,40.1678300836,37.2186747397,36.2087558399,22.7802589623,17.5155712312,13.4765654518,11.495936621,11.5995894462,14.0809708127,18.786950137,23.7087647958,23.7087647958,24.2420690189,30.8387525542,33.8501983772,33.1075133193,32.8147561203,30.4034757655,23.6904840243,22.9449828304,26.8803838162,26.8803838162,27.3353544199,27.1432476516,26.2342644419,26.3680173787,27.541199994,26.3565733351,26.2866448153,25.7645508452,22.1491565548,20.2367785879,20.2367785879,15.5001927238,14.0202385192,13.4881103308,12.9187528701,13.5751585937,15.5260483015,18.2281109254,33.5267713292,21.9387225726,21.9387225726,39.0036603157,30.2101787199,23.2616028688,24.9562024036,24.7489316118,21.2913584297,17.3047183535,12.9594784769,10.7714708314,11.9927826285,12.0170245893,13.0611602683
38,2025-02-08T00:00:00,18.1711856589,18.8520978647,19.6244091524,21.7818100516,22.6336567726,23.0822960824,24.4512572562,24.7327522605,23.494297537,24.0659832103,23.494297537,21.4801341508,22.9590478262,22.9590478262,21.2176758692,25.3018133601,25.3018133601,22.4551887913,24.3931650809,26.2617561271,24.0502105794,22.8922176003,21.2646303412,21.2646303412,19.7939046781,19.9062701708,18.7346091368,18.2776206807,14.9302434768,13.3836285028,10.5284158576,16.2657209131,15.4977443051,14.7028330086,14.7028330086,15.4977443051,13.3648510085,13.3648510085,19.8110720819,20.239726665,18.6738241374,21.2371566047,21.8377742823,21.5619575793,11.017611288,9.75938034081,11.4285917448,15.5172127693,14.7504426588,17.0828812872,19.3063445526,28.2444782673,31.4868203916,34.5284669153,35.6643850609,42.4185144943,49.1700682818,48.7315320006,49.5547780183,50.4691391,50.4691391,52.1519639832,53.2846883883,52.9636188557,54.6768181673,56.628423281,65.0862378707,72.8710744229,77.5293243269,74.7688281936,75.4962036347,89.587595672,85.5226813739,102.285670152,108.494832408,103.282830433,102.129074074,98.7097072379,83.1946651617,79.4992137645,76.4474022771,55.9339522199,49.0230848267,48.005580539,47.7950953525,46.1947720386,46.1947720386,41.1654388075,40.1678300836,37.2186747397,36.3356418663,33.7248762781,22.554383926,17.0209272779,13.1211179799,10.829944349,11.5995894462,15.6925583291,17.7437131334,21.040212312,21.040212312,22.6604270287,29.7704742752,33.1075133193,32.698517308,30.8842208534,28.892018227,23.6417054298,22.9449828304,26.8803838162,27.3353544199,28.5281914665,27.6982183023,27.1432476516,27.7297467196,27.8701005593,27.8701005593,27.8701005593,26.2866448153,24.6665429338,20.2367785879,20.2367785879,17.2277967484,15.5001927238,15.3402419151,15.5095864844,16.2640738764,16.6637952153,19.2844669235,27.6801870027,20.4284897727,20.4284897727,33.8740760929,26.6252959035,22.6903193255,23.3628184581,23.3628184581,21.2913584297,18.6498944932,17.5691890372,15.1201940133,13.9555539572,13.0611602683,13.7087667994
39,2025-02-09T00:00:00,19.048191751,19.5242260481,19.9289649957,23.3552175837,23.3552175837,23.3552175837,24.4512572562,24.7327522605,23.0905973736,24.0659832103,23.494297537,21.4801341508,22.9590478262,22.9590478262,20.4426991244,25.3018133601,25.4873383947,25.3340965057,26.3441450797,27.2758010226,24.4283981551,23.3183746927,22.8922176003,23.2769455593,22.8922176003,23.2769455593,22.5735660319,19.750013206,18.2935551307,17.5284017798,16.4061721696,17.9297356785,16.4061721696,16.0053771206,15.4977443051,15.4977443051,13.9700491885,14.4544069229,19.8110720819,20.239726665,20.239726665,21.3404985793,23.2362788387,25.4637652135,16.4912732102,11.0761553047,11.4285917448,14.7504426588,13.8698784325,16.8518389094,17.4957568498,27.3457439407,30.6819789385,33.3506028815,34.7369549523,41.0633624235,48.7315320006,48.4291372608,48.7879701648,49.5547780183,49.5547780183,49.0921757936,52.9636188557,49.6855484624,53.2846883883,55.7627563896,61.3762875133,70.9210639183,74.5245716456,73.2590852712,72.7272338377,85.5226813739,81.1138969082,90.2636279471,106.768361788,101.434433208,98.7097072379,92.9253541432,79.5412981821,78.1408270778,75.8345555937,68.9588476754,65.8958789633,65.0598296514,51.827133324,51.5548260694,51.5548260694,46.4962999555,43.5359703448,41.1559995636,37.2186747397,33.7248762781,19.5809688839,16.5773534614,13.1211179799,11.495936621,12.8253634841,16.3220735766,20.2098651033,24.298898338,23.7087647958,24.2420690189,32.698517308,35.1064880859,33.1075133193,33.8501983772,33.0924859291,26.9629540476,26.1986666734,27.3353544199,27.3353544199,27.3353544199,27.6982183023,27.7297467196,28.6543051354,28.7556781472,28.8223830196,28.6409636797,26.2866448153,24.7421055842,21.871497518,21.871497518,21.5404940585,20.2360827484,20.2360827484,16.2640738764,16.6637952153,18.2281109254,20.9967390207,27.3272162802,25.7608289953,25.7608289953,39.0036603157,30.2101787199,23.5934018672,24.9562024036,23.3628184581,21.2913584297,20.9426776822,18.6498944932,17.3380845292,15.1201940133,13.3849635338,12.7373570027
40,2025-02-10T00:00:00,18.5898140124,19.5787727263,20.6521651902,24.3462876875,24.3462876875,24.3462876875,24.7327522605,25.4318746168,23.0905973736,24.0659832103,23.494297537,21.4801341508,21.3687494361,21.3687494361,20.0704781292,23.8435109391,25.3018133601,24.219478672,25.3340965057,26.2617561271,24.0502105794,22.8922176003,22.8922176003,23.2769455593,22.8922176003,23.2769455593,22.5735660319,19.750013206,18.2935551307,17.5284017798,16.4061721696,17.5284017798,16.0053771206,15.4977443051,15.4977443051,16.5601613857,16.9616424477,17.5423954112,20.1314447818,20.239726665,18.6738241374,21.2371566047,22.5398177522,23.2362788387,13.7676653938,10.7133265812,10.5260582346,13.8161303246,13.642417052,16.7567335614,17.0828812872,26.843330298,29.8603452004,32.7836173491,34.5284669153,40.2853893024,44.1963917183,48.4291372608,49.5547780183,51.6108845634,51.7673138079,53.2972195454,54.543883393,53.2846883883,55.7627563896,65.0862378707,70.9098247591,77.5293243269,89.0244020527,89.0244020527,86.4448179796,98.4810140373,85.5226813739,90.2636279471,102.285670152,101.434433208,102.129074074,98.7097072379,83.1946651617,79.4992137645,75.8345555937,67.3619299152,65.0598296514,55.0192700187,51.5548260694,51.446586259,48.8305328904,46.4962999555,43.5359703448,41.1559995636,36.3356418663,31.0030296923,18.5260198365,15.5115305088,12.6430020296,10.829944349,12.474299651,15.6925583291,18.786950137,23.7087647958,23.7087647958,26.5841239833,33.1075133193,35.1064880859,33.6900436129,33.8501983772,32.7013644675,26.9629540476,26.1986666734,27.3353544199,26.8803838162,26.8803838162,27.1432476516,27.7297467196,28.8757488427,29.5722716949,29.5722716949,28.8223830196,26.2866448153,24.59156377,22.1813948014,21.871497518,20.2360827484,20.2360827484,20.2360827484,16.2640738764,18.7073928419,25.5542756389,25.7608289953,29.4703250557,26.9856229043,25.7608289953,33.8740760929,26.6252959035,23.8911666464,23.9088594033,22.6903193255,21.0072041051,20.1097369219,18.3317255387,17.5084615925,15.9605674242,14.9427025887,14.6959154308
