publish_day_index,date,slot,load_hat_kw,pv_hat_kw,net_hat_kwh
21,2025-01-22T00:00:00,1,3716.78342889,237.713855448,579.844928908
21,2025-01-22T00:00:00,2,3814.85504432,237.52246199,596.222097055
21,2025-01-22T00:00:00,3,3797.91493301,237.536431744,593.396416877
21,2025-01-22T00:00:00,4,3546.6240731,237.746395561,551.479612923
21,2025-01-22T00:00:00,5,3509.18095879,238.134995685,545.174327185
21,2025-01-22T00:00:00,6,3721.67748536,238.677479783,580.50000093
21,2025-01-22T00:00:00,7,3779.07886598,239.342513333,589.956058775
21,2025-01-22T00:00:00,8,3732.30976313,240.093193041,582.036095015
21,2025-01-22T00:00:00,9,3741.59540613,240.888239724,583.451194401
21,2025-01-22T00:00:00,10,3872.46204963,241.683345284,605.129784057
21,2025-01-22T00:00:00,11,3872.99170085,242.432645028,605.09317597
21,2025-01-22T00:00:00,12,3825.78703781,243.090283797,597.116125668
21,2025-01-22T00:00:00,13,4026.21716787,243.612042154,630.434187619
21,2025-01-22T00:00:00,14,3997.72317593,243.956987256,625.627698113
21,2025-01-22T00:00:00,15,3795.56871335,244.089112148,591.913266867
21,2025-01-22T00:00:00,16,3956.16812013,243.978926957,618.698198861
21,2025-01-22T00:00:00,17,4047.89056695,243.604965915,634.047600173
21,2025-01-22T00:00:00,18,3952.3195937,242.955175287,618.227403069
21,2025-01-22T00:00:00,19,4013.61239602,242.028149087,628.597374489
21,2025-01-22T00:00:00,20,4173.047407,240.834181898,655.368870851
21,2025-01-22T00:00:00,21,4260.16194407,239.396111192,670.127638812
21,2025-01-22T00:00:00,22,4189.37520731,237.749925118,658.604213699
21,2025-01-22T00:00:00,23,4219.18741567,235.945115827,663.873716641
21,2025-01-22T00:00:00,24,4358.04184447,234.044762903,687.332846928
21,2025-01-22T00:00:00,25,4350.58940936,232.125336313,686.410678842
21,2025-01-22T00:00:00,26,4232.55273364,230.276213384,667.046086709
21,2025-01-22T00:00:00,27,4155.27619375,228.598909589,654.446214027
21,2025-01-22T00:00:00,28,4233.64871381,227.206028249,667.740447593
21,2025-01-22T00:00:00,29,4288.37781055,226.219939571,677.026311829
21,2025-01-22T00:00:00,30,4254.56189833,225.771204661,671.465115611
21,2025-01-22T00:00:00,31,4241.01037982,225.996765102,669.168935786
21,2025-01-22T00:00:00,32,4290.92679696,227.042915801,677.313980192
21,2025-01-22T00:00:00,33,4270.1792725,229.038144015,673.523521414
21,2025-01-22T00:00:00,34,4128.57441171,232.137966208,649.40607425
21,2025-01-22T00:00:00,35,4720.94124402,236.555746926,747.397582849
21,2025-01-22T00:00:00,36,5624.36993716,242.210278141,897.026609836
21,2025-01-22T00:00:00,37,5510.30465141,249.402364961,876.817047741
21,2025-01-22T00:00:00,38,5394.69926715,259.262624204,855.906107157
21,2025-01-22T00:00:00,39,5625.21174562,268.877066403,892.722446537
21,2025-01-22T00:00:00,40,5526.76646917,280.746116482,874.336725449
21,2025-01-22T00:00:00,41,5400.02473713,313.823094245,847.700273814
21,2025-01-22T00:00:00,42,5412.08912704,434.016570871,829.678759362
21,2025-01-22T00:00:00,43,5410.43883369,658.462393341,791.996073392
21,2025-01-22T00:00:00,44,5512.71257378,928.438623082,764.045658449
21,2025-01-22T00:00:00,45,5517.44779694,1205.11251518,718.72254696
21,2025-01-22T00:00:00,46,5230.96702249,1487.61771139,623.891551851
21,2025-01-22T00:00:00,47,5962.56899029,1758.94717343,700.603636143
21,2025-01-22T00:00:00,48,7310.02331915,2033.69732166,879.387666249
21,2025-01-22T00:00:00,49,7453.23098067,2341.32872938,851.983708548
21,2025-01-22T00:00:00,50,7226.50390325,2629.85023693,766.108944387
21,2025-01-22T00:00:00,51,7231.81742641,2906.3759186,720.906917968
21,2025-01-22T00:00:00,52,7218.64550218,3220.98664247,666.276476618
21,2025-01-22T00:00:00,53,7199.96081647,3481.82520581,619.689268444
21,2025-01-22T00:00:00,54,7214.86450993,3689.32363697,587.590145494
21,2025-01-22T00:00:00,55,7239.13524512,3945.91164001,548.870600852
21,2025-01-22T00:00:00,56,7198.88066877,4246.94198194,491.989781139
21,2025-01-22T00:00:00,57,7104.82236004,4549.09829571,425.954010723
21,2025-01-22T00:00:00,58,7059.51404504,4800.56768168,376.49106056
21,2025-01-22T00:00:00,59,7137.88182538,4963.50348577,362.396389935
21,2025-01-22T00:00:00,60,7201.67174776,5140.41270266,343.543174182
21,2025-01-22T00:00:00,61,7046.28697014,5474.28223534,262.000789133
21,2025-01-22T00:00:00,62,7003.08226069,5733.34905246,211.622201371
21,2025-01-22T00:00:00,63,7095.3375633,5825.50199705,211.639261041
21,2025-01-22T00:00:00,64,7017.68667222,5880.42690087,189.543295225
21,2025-01-22T00:00:00,65,6921.43339081,5973.22460278,158.034798004
21,2025-01-22T00:00:00,66,6940.06295735,6108.14903014,138.652321202
21,2025-01-22T00:00:00,67,7034.99474874,6237.94625542,132.841415554
21,2025-01-22T00:00:00,68,7035.83034194,6328.46374506,117.894432815
21,2025-01-22T00:00:00,69,6944.79014998,6364.34874304,96.7402344888
21,2025-01-22T00:00:00,70,6911.0837759,6357.76239374,92.2202303611
21,2025-01-22T00:00:00,71,6860.5993305,6368.66799861,81.9885553141
21,2025-01-22T00:00:00,72,6774.92323401,6410.70940985,60.7023040266
21,2025-01-22T00:00:00,73,6712.09726608,6448.34234281,43.9591538793
21,2025-01-22T00:00:00,74,6586.89134022,6480.75457113,17.6894615149
21,2025-01-22T00:00:00,75,6413.28741332,6495.11408098,-13.6377779444
21,2025-01-22T00:00:00,76,6336.37463361,6460.08891024,-20.6190461056
21,2025-01-22T00:00:00,77,6471.76227683,6359.42249562,18.7232968677
21,2025-01-22T00:00:00,78,6726.28674632,6265.25130725,76.8392398445
21,2025-01-22T00:00:00,79,6852.437286,6253.54165132,99.8159391136
21,2025-01-22T00:00:00,80,6790.43092947,6092.51126166,116.319944634
21,2025-01-22T00:00:00,81,6654.62850133,5802.1215244,142.084496155
21,2025-01-22T00:00:00,82,6619.56788403,5643.48046333,162.681236784
21,2025-01-22T00:00:00,83,6603.78598887,5526.82573683,179.493375339
21,2025-01-22T00:00:00,84,6536.70087832,5338.69642328,199.667409174
21,2025-01-22T00:00:00,85,6451.28454662,5066.8189816,230.744260836
21,2025-01-22T00:00:00,86,6481.14561355,4828.24055802,275.484175921
21,2025-01-22T00:00:00,87,6589.49364727,4660.8542274,321.439903312
21,2025-01-22T00:00:00,88,6605.47554737,4488.43876298,352.839464065
21,2025-01-22T00:00:00,89,6594.51435073,4226.47913863,394.67253535
21,2025-01-22T00:00:00,90,6538.73967983,3907.79057569,438.491517357
21,2025-01-22T00:00:00,91,6356.36296846,3630.73821301,454.270792576
21,2025-01-22T00:00:00,92,6275.65448319,3290.74458133,497.484983644
21,2025-01-22T00:00:00,93,6324.63194597,2904.12186663,570.085013223
21,2025-01-22T00:00:00,94,6322.62746055,2610.04118063,618.764379986
21,2025-01-22T00:00:00,95,6362.01319122,2349.94562663,668.677927432
21,2025-01-22T00:00:00,96,6387.23303663,2071.49282723,719.290034899
21,2025-01-22T00:00:00,97,6236.57348185,1779.90437699,742.778184144
21,2025-01-22T00:00:00,98,6186.38552943,1481.0892127,784.216052788
21,2025-01-22T00:00:00,99,6298.68441161,1194.51316175,850.69520831
21,2025-01-22T00:00:00,100,6349.92962647,938.876900032,901.842121072
21,2025-01-22T00:00:00,101,6286.16730416,677.376488704,934.798469243
21,2025-01-22T00:00:00,102,6253.30869541,441.650705976,968.609664905
21,2025-01-22T00:00:00,103,6407.05690971,315.824113072,1015.20546611
21,2025-01-22T00:00:00,104,6355.68829141,281.231198827,1012.40951543
21,2025-01-22T00:00:00,105,6227.30434719,267.572534266,993.288635487
21,2025-01-22T00:00:00,106,6391.26417869,256.117966422,1022.52436871
21,2025-01-22T00:00:00,107,5635.3298838,244.737840627,898.432007196
21,2025-01-22T00:00:00,108,4320.82606567,236.203003486,680.770510364
21,2025-01-22T00:00:00,109,4154.29126922,229.418387551,654.145480278
21,2025-01-22T00:00:00,110,4355.22137919,224.115809242,688.517594991
21,2025-01-22T00:00:00,111,4338.83610915,220.368209663,686.411316582
21,2025-01-22T00:00:00,112,4312.41134191,217.962948794,682.408065518
21,2025-01-22T00:00:00,113,4297.00668193,216.741002741,680.044279865
21,2025-01-22T00:00:00,114,4311.64942893,216.564742308,682.514114437
21,2025-01-22T00:00:00,115,4387.50271638,217.274803203,695.037985529
21,2025-01-22T00:00:00,116,4397.00313079,218.718539103,696.380765281
21,2025-01-22T00:00:00,117,4347.57070139,220.746426872,687.804045754
21,2025-01-22T00:00:00,118,4377.71885666,223.214534288,692.417387062
21,2025-01-22T00:00:00,119,4450.24589124,225.986534951,704.043226049
21,2025-01-22T00:00:00,120,4503.36101742,228.935500015,712.404252901
21,2025-01-22T00:00:00,121,4513.60804668,231.945442602,713.610434012
21,2025-01-22T00:00:00,122,4523.74178837,234.912595595,714.804865462
21,2025-01-22T00:00:00,123,4545.90616244,237.746408619,718.026625638
21,2025-01-22T00:00:00,124,4557.52439176,240.370255307,719.525689409
21,2025-01-22T00:00:00,125,4582.21843397,242.721847353,723.249431102
21,2025-01-22T00:00:00,126,4595.62915213,244.753357201,725.145965822
21,2025-01-22T00:00:00,127,4542.04244239,246.43125649,715.93519765
21,2025-01-22T00:00:00,128,4480.86266254,247.735882461,705.521130013
21,2025-01-22T00:00:00,129,4508.99504787,248.660749315,710.055716426
21,2025-01-22T00:00:00,130,4582.95589492,249.211625903,722.290711503
21,2025-01-22T00:00:00,131,4109.37967069,249.405405164,643.329044254
21,2025-01-22T00:00:00,132,3356.51976875,249.268794128,517.875162437
21,2025-01-22T00:00:00,133,3256.09953415,248.836856253,501.210446316
21,2025-01-22T00:00:00,134,3411.7970783,248.151440113,527.274273032
21,2025-01-22T00:00:00,135,3420.72632308,247.259530091,528.911132165
21,2025-01-22T00:00:00,136,3287.38416315,246.211555673,506.862101245
21,2025-01-22T00:00:00,137,3285.18117971,245.059696215,506.686913916
21,2025-01-22T00:00:00,138,3411.83945659,243.856217575,527.997206503
21,2025-01-22T00:00:00,139,3423.25020003,242.651875919,530.099720685
21,2025-01-22T00:00:00,140,3456.77441644,241.494422226,535.879999036
21,2025-01-22T00:00:00,141,3564.88286126,240.427238587,554.075937113
21,2025-01-22T00:00:00,142,3633.01628471,239.488134461,565.588025042
21,2025-01-22T00:00:00,143,3617.31512469,238.708327521,563.101132862
21,2025-01-22T00:00:00,144,3559.10111427,238.111629793,553.498247413
22,2025-01-23T00:00:00,1,3533.05848744,3.59633831575,588.24369152
22,2025-01-23T00:00:00,2,3597.82084804,3.87207461549,598.991462237
22,2025-01-23T00:00:00,3,3674.57152504,4.29941968291,611.712017559
22,2025-01-23T00:00:00,4,3696.386842,4.85861826428,615.254703956
22,2025-01-23T00:00:00,5,3726.1850151,5.52268464685,620.11038841
22,2025-01-23T00:00:00,6,3830.92692755,6.25823273629,637.444782469
22,2025-01-23T00:00:00,7,3985.95351134,7.02651969175,663.154498609
22,2025-01-23T00:00:00,8,3933.96570387,7.78468108619,654.363503798
22,2025-01-23T00:00:00,9,3776.46256178,8.48713139252,627.995905065
22,2025-01-23T00:00:00,10,3863.27966173,9.08709991677,642.365426969
22,2025-01-23T00:00:00,11,3889.4177707,9.53826917827,646.646583588
22,2025-01-23T00:00:00,12,3799.75372882,9.79648023324,631.659541432
22,2025-01-23T00:00:00,13,3865.14029353,9.82146760066,642.553137655
22,2025-01-23T00:00:00,14,3989.3816654,9.57858531568,663.300513347
22,2025-01-23T00:00:00,15,4018.64832492,9.04048522937,668.267973282
22,2025-01-23T00:00:00,16,3924.18023072,8.18870900692,652.665253619
22,2025-01-23T00:00:00,17,4001.71704865,7.01515634649,665.783648717
22,2025-01-23T00:00:00,18,4152.58450181,5.52339373398,691.176851346
22,2025-01-23T00:00:00,19,4010.73476813,3.72977053583,667.834166266
22,2025-01-23T00:00:00,20,4013.45924726,1.66431237333,668.632489147
22,2025-01-23T00:00:00,21,4175.72328944,0,695.953881574
22,2025-01-23T00:00:00,22,4069.45701687,0,678.242836146
22,2025-01-23T00:00:00,23,3991.63312043,0,665.272186738
22,2025-01-23T00:00:00,24,4055.58622837,0,675.931038061
22,2025-01-23T00:00:00,25,4068.58491535,0,678.097485892
22,2025-01-23T00:00:00,26,4095.19887624,0,682.53314604
22,2025-01-23T00:00:00,27,4139.87307084,0,689.978845141
22,2025-01-23T00:00:00,28,4132.29191988,0,688.71531998
22,2025-01-23T00:00:00,29,4206.99905497,0,701.166509161
22,2025-01-23T00:00:00,30,4318.16388444,0,719.69398074
22,2025-01-23T00:00:00,31,4285.27298957,0,714.212164928
22,2025-01-23T00:00:00,32,4304.73923763,0,717.456539605
22,2025-01-23T00:00:00,33,4297.83651377,0,716.306085628
