month,plan_cost,emg_cost,total_cost,e_end,min_E,max_E,unused_w
2025-02,1184531.60355,12874.6666313,1197406.27018,1942.07680649,1200,10800,132514.932164
2025-03,1095967.26404,31987.8154895,1127955.07953,1667.18486881,1200,10800,202707.437784
2025-04,921984.640608,47932.1893041,969916.829912,1866.0991977,1200,10800,266889.530192
2025-05,940872.595175,43529.4270699,984402.022244,2520.39429481,1200,10800,303939.393997
2025-06,1279055.88617,162483.765423,1441539.6516,1921.59002499,1200,10800,235289.752478
2025-07,1459603.51225,52937.7991993,1512541.31145,1759.00271116,1200,10800,277629.672809
2025-08,1227696.0854,50965.5913955,1278661.6768,2538.02599364,1200,10800,279557.182763
2025-09,1020626.60514,232286.090468,1252912.69561,1810.73185841,1200,10800,210789.00984
2025-10,1109824.49831,27843.1338754,1137667.63219,2127.38869439,1200,10800,254514.376391
2025-11,1284153.70877,770.180682108,1284923.88945,2114.31951131,1200,10800,174356.809443
2025-12,1719947.5278,31578.9499146,1751526.47772,1875.68389575,1200,10800,235297.547579
