day_index,date,slot,q_kwh,c_kwh,s_kwh,z_kwh,w_kwh,E_kwh,price
78,2025-03-20T00:00:00,1,1438.72174847,833.333333333,0,0,55.5435984715,2919.05096281,0.4248
78,2025-03-20T00:00:00,2,1430.13476618,833.333333333,0,0,26.4879328477,3669.05096281,0.4245
78,2025-03-20T00:00:00,3,1429.76569535,815.914028687,0,0,0,4403.37358862,0.4269
78,2025-03-20T00:00:00,4,1433.30720305,833.333333333,0,0,20.5177030502,5153.37358862,0.4272
78,2025-03-20T00:00:00,5,1430.55668927,833.333333333,0,0,46.7784392727,5903.37358862,0.4271
78,2025-03-20T00:00:00,6,1423.85475649,833.333333333,0,0,19.3647564947,6653.37358862,0.4285
78,2025-03-20T00:00:00,7,589.391149931,0,12.1979000689,0,0,6639.82036633,0.4311
78,2025-03-20T00:00:00,8,1415.03377752,803.550027517,0,0,0,7363.01539109,0.4302
78,2025-03-20T00:00:00,9,1403.99928284,805.782616171,0,0,0,8088.21974565,0.4279
78,2025-03-20T00:00:00,10,581.020456343,0,2.91549365722,0,0,8084.98030825,0.4312
78,2025-03-20T00:00:00,11,603.068939121,12.073889121,0,0,0,8095.84680846,0.4333
78,2025-03-20T00:00:00,12,1040.88895373,442.445620392,0,0,0,8494.04786681,0.4311
78,2025-03-20T00:00:00,13,1438.59673294,833.333333333,0,0,39.2797829421,9244.04786681,0.4293
78,2025-03-20T00:00:00,14,590.282976516,44.162209849,0,0,0,9283.79385567,0.4324
78,2025-03-20T00:00:00,15,588.507595792,22.7942624584,0,0,0,9304.30869189,0.4367
78,2025-03-20T00:00:00,16,610.549508109,12.6229414427,0,0,0,9315.66933919,0.4348
78,2025-03-20T00:00:00,17,625.056256778,24.1017901118,0,0,0,9337.36095029,0.4335
78,2025-03-20T00:00:00,18,615.764788212,28.6331215453,0,0,0,9363.13075968,0.4357
78,2025-03-20T00:00:00,19,598.775008671,0,6.43529132885,0,0,9355.98043598,0.4374
78,2025-03-20T00:00:00,20,592.178136414,0,29.7142469196,0,0,9322.96460607,0.4371
78,2025-03-20T00:00:00,21,602.722837629,0,17.445495704,0,0,9303.58072195,0.4356
78,2025-03-20T00:00:00,22,621.160442411,4.53735907803,0,0,0,9307.66434512,0.4353
78,2025-03-20T00:00:00,23,611.676052521,0,0.787697479257,0,0,9306.7891257,0.436
