day,date,plan_cost,emergency_cost,total,initial_energy,end_energy,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,unused_kwh
31,2025-02-01,21093.071312700595,291.088406979253,21384.159719679847,10800.0,8911.764484046496,40560.113604519116,94.57032982338742,18605.94977969503,16770.23128591112,4440.78950722527
32,2025-02-02,54772.21557630556,366.04866586909446,55138.26424217466,8911.764484046496,8971.774088272223,87555.27571643004,92.79133277184158,24991.379191723518,20189.008501492903,4489.4184089712735
33,2025-02-03,52552.194372920785,5996.252919953544,58548.44729287433,8971.774088272223,8462.206834362165,84326.85960722785,1319.677479173784,23644.046645251878,19610.288311173084,1395.8622523228003
34,2025-02-04,53144.77229941845,9008.89371325251,62153.66601267096,8462.206834362165,8476.994737783785,85469.54474641029,1905.83758077925,24042.4839312611,19461.10287124203,1599.1373171704809
35,2025-02-05,52319.11014738267,7681.921041389238,60001.03118877191,8476.994737783785,8547.316271288906,84210.58040909357,1650.103990729814,23881.873048118767,19281.02778882159,511.41215719287186
36,2025-02-06,52750.81500750455,3456.359350508365,56207.17435801291,8547.316271288906,7877.610287244431,84431.32063365336,747.8801189267651,23474.561282088333,19617.130024131577,1050.7122779567298
37,2025-02-07,19565.679874228186,2765.6795032452824,22331.35937747347,7877.610287244431,7805.27375572874,38347.32957282097,668.8902082904428,20388.302359805635,16579.62778980669,3401.865544445783
38,2025-02-08,18040.74093358522,8290.874980674545,26331.615914259768,7805.27375572874,8321.098601365627,35582.05862399619,1918.072567763768,19520.433130427777,15347.308474573301,1749.8438192388135
39,2025-02-09,51039.03225291102,10831.876772498304,61870.909025409324,8321.098601365627,8445.022084478225,82473.88555813428,2301.1883043148378,23324.063467093598,18780.960273544475,676.5547022333011
40,2025-02-10,51619.6052692459,2296.5169040518954,53916.122173297794,8445.022084478225,8374.433251629305,83188.072850673,523.9386191722866,24398.41819739643,19826.248689455133,4813.204378570654
41,2025-02-11,50629.369935959956,4197.408125165419,54826.77806112538,8374.433251629305,8429.96749239509,81910.81967507422,863.9758016659381,24143.89209806779,19506.5717827457,2916.8780280847363
42,2025-02-12,48664.08418566419,9582.934074915385,58247.01826057958,8429.96749239509,8374.423177418832,79175.09092368193,2037.0617606886863,23227.602874194246,18864.34821157597,1582.1618884190075
43,2025-02-13,48675.409666629566,3091.497841028861,51766.90750765843,8374.423177418832,7336.111676646859,78399.60434908648,852.3400034249188,21833.440084605765,18619.566819225434,4708.59207046441
44,2025-02-14,16653.14319355325,7137.871019126461,23791.01421267971,7336.111676646859,6334.1005921179485,32508.26818842615,2005.7089618821078,18758.992710403654,16096.594071502974,2049.776694740909
45,2025-02-15,17636.592997034393,9958.670577369394,27595.263574403787,6334.1005921179485,8120.582184249673,35006.07758504755,2603.3344478852778,21369.968263504867,15701.840860520384,2661.193529948348
