month,days,plan_cost,emergency_cost,total
2025-02,28,1109195.6759265412,194651.24839972402,1303846.9243262652
2025-03,31,1010515.517163724,280069.68926678447,1290585.2064305083
2025-04,30,844542.3687940058,247818.11455245738,1092360.483346463
2025-05,31,863908.102848793,219785.30980140142,1083693.4126501945
2025-06,30,1189453.861959005,318806.9559443677,1508260.817903373
2025-07,31,1370168.327486134,211759.96680230423,1581928.294288438
2025-08,31,1149719.8716212148,295405.9182941574,1445125.7899153726
2025-09,30,937038.5039391962,548624.2242067709,1485662.7281459672
2025-10,31,1006104.9406274346,294337.4909064769,1300442.4315339117
2025-11,30,1173391.4751489228,175028.5193399236,1348419.9944888463
2025-12,31,1589016.6092540505,125539.13061083907,1714555.7398648898
