day,date,e0,e_end,plan_cost,emg_cost,total_cost
31,2025-02-01T00:00:00,10800.0,8911.841511660321,20931.046695441077,461.6260506773111,21392.672746118387
32,2025-02-02T00:00:00,8911.841511660321,8996.662672590324,54588.59579034594,357.5107774389821,54946.106567784926
33,2025-02-03T00:00:00,8996.662672590324,8462.206835320292,52344.450944946446,3636.8282866294094,55981.279231575856
34,2025-02-04T00:00:00,8462.206835320292,8529.721405514212,52945.91306350015,8644.622989366444,61590.53605286659
35,2025-02-05T00:00:00,8529.721405514212,8547.316272732689,52097.04593272765,8655.774768165098,60752.82070089274
36,2025-02-06T00:00:00,8547.316272732689,7864.231114976653,52558.21566301602,2417.123350867255,54975.33901388327
37,2025-02-07T00:00:00,7864.231114976653,7805.2737572862725,19412.168835799133,2597.2873487206116,22009.456184519746
38,2025-02-08T00:00:00,7805.2737572862725,8321.09860289521,18012.75498365143,5836.220162300451,23848.97514595188
39,2025-02-09T00:00:00,8321.09860289521,8445.022085997463,50847.36188852233,11277.271801815546,62124.63369033788
40,2025-02-10T00:00:00,8445.022085997463,8374.433253110707,51430.425242812446,2355.55948608444,53785.98472889689
41,2025-02-11T00:00:00,8374.433253110707,8429.96749380136,50441.570227314325,4436.8158131753635,54878.38604048969
42,2025-02-12T00:00:00,8429.96749380136,8374.423177429755,48481.020942589996,8334.092475366768,56815.11341795676
43,2025-02-13T00:00:00,8374.423177429755,7336.1128669669815,48496.159903904496,3443.294687892025,51939.45459179652
44,2025-02-14T00:00:00,7336.1128669669815,6334.261660162748,16626.890936820655,7160.2556228085305,23787.146559629186
45,2025-02-15T00:00:00,6334.261660162748,8120.582186424923,17609.950465176255,8609.46212579717,26219.412590973425
46,2025-02-16T00:00:00,8120.582186424923,8386.470970528713,45951.51522313041,21637.04442220662,67588.55964533702
47,2025-02-17T00:00:00,8386.470970528713,8284.431411129235,46741.44556866359,4663.096161762488,51404.54173042608
48,2025-02-18T00:00:00,8284.431411129235,8402.700907095566,45853.67976266146,6469.7820729981,52323.46183565956
49,2025-02-19T00:00:00,8402.700907095566,8154.557179378564,45508.40749096581,13958.420763820786,59466.8282547866
50,2025-02-20T00:00:00,8154.557179378564,6455.087473715184,44555.48626581492,7092.642321615949,51648.12858743087
51,2025-02-21T00:00:00,6455.087473715184,5987.721131306092,16649.43024746709,4368.334107017285,21017.764354484374
52,2025-02-22T00:00:00,5987.721131306092,8280.19411307518,17980.12944952238,4546.7550622099,22526.88451173228
53,2025-02-23T00:00:00,8280.19411307518,8443.423193517805,45534.134924561455,6810.876219277065,52345.01114383852
54,2025-02-24T00:00:00,8443.423193517805,8464.256381136945,44055.39059488523,4423.283275528695,48478.67387041393
55,2025-02-25T00:00:00,8464.256381136945,8317.524264499025,44122.97216639579,3667.5161465773645,47790.48831297315
56,2025-02-26T00:00:00,8317.524264499025,8510.667860532363,43412.95084009634,7634.396469983763,51047.347310080106
57,2025-02-27T00:00:00,8510.667860532363,6287.015456590227,41430.60685649497,12140.711161496783,53571.318017991754
58,2025-02-28T00:00:00,6287.015456590227,5924.0067357049875,16474.267191102088,2600.575588289093,19074.84277939118
59,2025-03-01T00:00:00,5924.0067357049875,8565.091512328032,18192.36708484403,896.0651881545914,19088.432272998623
60,2025-03-02T00:00:00,8565.091512328032,8584.089633825663,44930.42982256296,20407.67252988754,65338.1023524505
61,2025-03-03T00:00:00,8584.089633825663,8396.724562101754,43406.89732326922,23444.55704771897,66851.45437098818
62,2025-03-04T00:00:00,8396.724562101754,8298.73663590707,45145.38435237927,1585.4261011983272,46730.81045357759
63,2025-03-05T00:00:00,8298.73663590707,8468.458687423748,44827.97328827321,2029.9487152530685,46857.922003526284
64,2025-03-06T00:00:00,8468.458687423748,5352.4449146877705,40574.456687241924,7636.332211686895,48210.78889892882
65,2025-03-07T00:00:00,5352.4449146877705,4604.01210278349,15048.051940949212,3022.2763383747656,18070.328279323978
66,2025-03-08T00:00:00,4604.01210278349,8247.20857750687,16459.03451916204,6431.914608035278,22890.949127197317
67,2025-03-09T00:00:00,8247.20857750687,8505.823373706662,41623.42805996936,2958.5781584345773,44582.006218403934
68,2025-03-10T00:00:00,8505.823373706662,8372.497637887622,40359.307458841984,25361.954457831816,65721.2619166738
69,2025-03-11T00:00:00,8372.497637887622,8557.215516535352,41752.99877801706,4709.107525487576,46462.10630350464
70,2025-03-12T00:00:00,8557.215516535352,8265.076480376832,40360.522418658395,4889.650246707232,45250.17266536563
71,2025-03-13T00:00:00,8265.076480376832,4396.751514404139,37824.038325047906,29521.98647542824,67346.02480047615
72,2025-03-14T00:00:00,4396.751514404139,3921.8241489693933,14579.91933320085,3134.676750340072,17714.596083540924
73,2025-03-15T00:00:00,3921.8241489693933,8153.251286983644,16568.856938883706,7474.170448044604,24043.027386928312
74,2025-03-16T00:00:00,8153.251286983644,8727.031350464837,40531.77763632518,6006.218433461945,46537.99606978713
75,2025-03-17T00:00:00,8727.031350464837,8632.460529283331,40422.23328156033,2370.2731908032406,42792.50647236357
76,2025-03-18T00:00:00,8632.460529283331,8262.800243482565,37620.426466529476,11913.504311022007,49533.93077755148
77,2025-03-19T00:00:00,8262.800243482565,8579.197956226519,37906.82923935711,7798.541957034975,45705.37119639209
78,2025-03-20T00:00:00,8579.197956226519,3916.231089210734,35376.085713976165,16698.297960579206,52074.38367455537
79,2025-03-21T00:00:00,3916.231089210734,3612.384424306833,13896.500540628724,6139.299512950634,20035.800053579358
80,2025-03-22T00:00:00,3612.384424306833,8402.383755397103,16561.721909356696,2390.697501419626,18952.41941077632
81,2025-03-23T00:00:00,8402.383755397103,8602.209568064776,37755.99179811505,5298.147120968415,43054.13891908347
82,2025-03-24T00:00:00,8602.209568064776,8476.753497798396,36794.17307214353,6398.026015206029,43192.19908734956
83,2025-03-25T00:00:00,8476.753497798396,8333.140797770455,36618.11288727784,15656.534620272545,52274.647507550384
84,2025-03-26T00:00:00,8333.140797770455,8410.867128752681,36586.67131622927,2420.9671758170243,39007.638492046295
