policy,month,days,normal,adjustment,emergency,total,g,w,c,s
C0,1,31,1465758.0320106188,0.0,788082.27635426,2253840.308364879,181899.80496410804,103051.52929306141,669489.0695686188,539997.9600187422
C0,2,28,1133006.7953253866,0.0,181585.26483925863,1314592.0601646453,41369.495222100115,97357.20465470933,581831.0681956202,473391.69454682065
C0,3,31,1041032.6821465425,0.0,242569.38149319807,1283602.0636397407,52735.89532780022,174097.64866547883,589469.8872916349,475263.1159081642
C0,4,30,855017.5147747163,0.0,193805.81556954182,1048823.330344258,42295.43937446172,195801.9989600002,525356.6941803432,426110.4441850013
C0,5,31,853312.0817516489,0.0,254788.81049089014,1108100.892242539,51785.12722637339,206104.66362568736,497298.3875928117,401836.3819654358
C0,6,30,1200222.0239246334,0.0,232907.3930491595,1433129.416973793,51994.54716056169,157282.57837219292,543884.4763031664,440843.53849948896
C0,7,31,1366638.7532670884,0.0,331105.03715315164,1697743.79042024,70045.91552987126,211046.26662863904,531320.0984097202,435688.11277186923
C0,8,31,1178134.2018203675,0.0,233371.9297647049,1411506.1315850723,52050.69415483671,240399.3927785577,535067.32438882,428082.37203489634
C0,9,30,960674.5792884047,0.0,444375.36837148067,1405049.9476598855,104318.20409601046,190168.39084597054,534605.9178862523,433305.66487652675
C0,10,31,1028883.8820307533,0.0,265873.56240241026,1294757.4444331636,56605.14916654314,195387.6791946772,592911.8673222553,482589.35758624505
C0,11,30,1172259.9720851919,0.0,232181.3574305403,1404441.3295157321,51409.29453626958,79222.04760176601,631359.3255517293,508968.7283387272
C0,12,31,1569779.5450400203,0.0,195778.03275006977,1765557.5777900899,45743.29734626242,81777.89196619003,700240.6950452123,573703.7765564147
C1,1,31,1465656.6401420604,0.0,805946.3180283218,2271602.958170382,188171.02748466394,110219.6606963058,662169.8051040296,533813.8010981863
C1,2,28,1132842.8334204834,0.0,196858.28784094835,1329701.1212614318,45506.810446286094,102394.88261364073,576407.7719876885,469254.37932263466
C1,3,31,1040712.4095510041,0.0,237054.121490304,1277766.531041308,57401.208119697425,179081.97074225981,583721.0762350089,470600.1830095569
C1,4,30,854003.480728119,0.0,213351.99204697233,1067355.4727750914,50923.86713058428,203912.2624879937,514744.2540568528,417520.76362771436
C1,5,31,852352.6335242153,0.0,315167.50166738767,1167520.1351916029,72599.92117798998,229170.48579809096,472364.70234434336,381457.40432981803
C1,6,30,1199990.2709390407,0.0,260571.81145900022,1460562.082398041,60342.296718118385,167239.47080610294,533516.8028149834,432628.4155584192
C1,7,31,1366363.8750489855,0.0,350607.24954708014,1716971.1245960656,80298.63031538807,223007.72778502328,518716.9343649422,425469.34695780434
C1,8,31,1177478.6789732499,0.0,267973.56605746725,1445452.245030717,64542.715879277246,254216.09631282804,519762.6068806751,415695.7537910937
C1,9,30,960101.0292550902,0.0,480117.83056013094,1440218.859815221,116520.31377018795,203822.68204700234,519640.4858194854,421183.6649024456
C1,10,31,1028849.5207268851,0.0,276424.0755717315,1305273.5962986166,61510.078605929884,201360.92258509528,586858.1618054728,477684.7599759846
C1,11,30,1172188.1155359389,0.0,276752.26558982494,1448940.381125764,64004.943779360874,94596.72772445958,615807.7880396824,496373.0790956359
C1,12,31,1569514.9662121274,0.0,230086.6585315083,1799601.6247436358,54188.000607734575,91577.12615760184,689833.1550680494,565273.6691749127
C2,1,31,1518667.3274059582,56452.895457064646,404150.278235194,1979270.5010982167,100564.10923366947,71068.91451258626,695923.1127132324,561153.9802616405
C2,2,28,1096708.7062734682,27666.179820316513,181753.4567250698,1306128.3428188544,42474.74700052864,43391.939166740194,595190.1261544516,484468.08619771275
C2,3,31,1014882.1005017965,32353.239389336013,169112.12615006356,1216347.466041196,41293.60721934867,115178.88365490298,606468.0766728887,489029.60453173134
C2,4,30,845295.8033761178,23686.360001320354,129002.24069311138,997984.4040705495,29703.0832262658,162019.13115639504,535345.4292391262,434203.364357864
C2,5,31,860148.3823665873,23210.177043756063,153533.83336401408,1036892.3927743575,33477.73767190644,199684.42281283138,509224.87401814444,411573.5723689302
C2,6,30,1184315.6655840827,35215.988011683294,164876.3424423559,1384407.996038122,37561.416091001585,115196.94749747482,560233.7665084949,454009.72716683015
C2,7,31,1355488.6790567231,41268.7123273018,170050.0153265924,1566807.4067106172,40006.63229325696,155715.93908159685,555172.8237710041,455007.44565733423
C2,8,31,1157779.3588717226,30289.681456084254,172385.14919200676,1360454.1895198137,40326.41377334994,195321.10575749332,545036.6669654566,436084.3847017925
C2,9,30,956833.8538567966,28752.96284794843,356618.7756798209,1342205.592384566,87918.7259622596,157681.4350523214,543341.0781995323,440412.04825714027
C2,10,31,1004447.3952982075,33923.84265143907,199958.22172331353,1238329.45967296,45415.90210335387,135060.28199777947,604516.7157087558,492031.81458814174
C2,11,30,1179282.1565883853,24517.8269140046,119233.9802722072,1323033.963774597,28277.644876739632,59380.13629309127,641990.3561404159,517580.95925722993
C2,12,31,1565636.8472302319,26683.7124127972,132869.1059608378,1725189.665603867,32363.304198461923,57789.10234416491,711496.6256252854,582821.0803262738
