month,segments,normal,adjustment,emergency,total,normal_kwh,emergency_kwh,unused_kwh,initial_energy,final_energy
1,4464,1987521.2321490648,0.0,1576339.5185482416,3563860.7506973064,2304883.1151592857,312090.64056970633,268916.41464434157,6000.0,10800.0
2,4032,1255724.4140528005,0.0,13610.53604764786,1269334.9501004484,1951603.2150771548,2796.6649575342244,132169.06973109514,10800.0,1957.2642016454517
3,4464,1098173.640415294,0.0,30529.920794649424,1128703.5612099436,1842535.3509723577,5605.709126342813,201798.4161661643,1957.2642016454517,1685.2810596621298
4,4320,903771.2133061277,0.0,41231.56883866614,945002.7821447938,1583990.65345422,6756.162355039706,265882.95913039456,1685.2810596621298,1975.6507752879297
5,4464,924081.6632013551,0.0,39788.35044166298,963870.0136430181,1584499.5077105565,7765.968674325274,302402.3592212572,1975.6507752879297,2540.5549508449417
6,4320,1362195.3874040777,0.0,163035.95184059878,1525231.3392446765,2061730.5851593858,26429.437197275467,234467.85529191248,2540.5549508449417,1870.090684565454
7,4464,1661473.9521039813,0.0,64711.65648778691,1726185.6085917682,2320764.142089852,9610.22828564552,278531.03731181833,1870.090684565454,1759.00271116404
8,4464,1359989.160712995,0.0,47875.51500553616,1407864.6757185312,1964177.0984940673,7159.623934574457,279030.9006279145,1759.00271116404,2538.0259936406846
9,4320,1032640.6647336908,0.0,222255.16655220737,1254895.831285898,1669492.211497713,41152.51095096991,211039.5541793584,2538.0259936406846,2093.552291884915
10,4464,1109607.2740288025,0.0,26149.601054582654,1135756.875083385,1843223.0872650654,4375.829815532355,251907.17967700306,2093.552291884915,2127.3886943947173
11,4320,1344137.126175932,0.0,3306.3632532369097,1347443.4894291689,2075426.7549817422,625.4116025845376,170515.89010734286,2127.3886943947173,2370.6071756787946
12,4464,1961427.9823854603,0.0,37237.26741209664,1998665.249797557,2722523.5800652443,5642.239550363766,235071.9807243474,2370.6071756787946,1875.6838957450364
