month,segments,normal,adjustment,emergency,total,normal_kwh,emergency_kwh,unused_kwh,initial_energy,final_energy
1,4464,1987521.2321490648,0.0,1576339.5185482416,3563860.7506973064,2304883.1151592857,312090.64056970633,268916.41464434157,6000.0,10800.0
2,4032,1164183.9731490226,0.0,185386.83826179386,1349570.8114108164,1842850.656542328,42791.17238174355,61120.95574980369,10800.0,4814.60999268813
3,4464,1000836.1518721317,0.0,263787.5170123566,1264623.6688844883,1713726.8750974555,59314.862765070735,128198.94882279236,4814.60999268813,4984.047663717165
4,4320,820022.952905875,0.0,223928.94667950037,1043951.8995853753,1455905.0609969369,46526.94829340545,177022.76318933794,4984.047663717165,5704.242149653526
5,4464,842972.7586594243,0.0,178851.38643971196,1021824.1450991363,1458098.6273988008,39699.04536348055,203180.44508294365,5704.242149653526,10230.358374855192
6,4320,1246256.500972781,0.0,334144.39579968125,1580400.8967724624,1909395.375738367,66375.40946993486,129713.36548082871,10230.358374855192,1895.837381997735
7,4464,1549023.5640387372,0.0,228835.9055283992,1777859.4695671364,2176420.4390468155,45321.329561007755,168662.8566235667,1895.837381997735,1297.9804011214721
8,4464,1264936.9748565156,0.0,326513.27641546685,1591450.2512719824,1824650.5988532153,62810.57747095105,199820.94231914802,1297.9804011214721,2408.209848061497
9,4320,938060.9295300131,0.0,552897.5275820829,1490958.457112096,1523912.2853519232,122703.02336554724,152339.15057259685,2408.209848061497,2619.897763764673
10,4464,994300.0723390242,0.0,304802.4928353802,1299102.5651744043,1687862.490351503,64815.518398732165,154566.4729552011,2619.897763764673,7004.2909178225045
11,4320,1217904.784893993,0.0,172963.26664177512,1390868.0515357682,1926585.097765161,37202.10999247551,54619.78433397002,7004.2909178225045,6428.726911182392
12,4464,1791307.7747879124,0.0,150589.61728576437,1941897.3920736767,2545280.9625240113,30803.399295039013,83600.77438358853,6428.726911182392,1235.2640570262038
