policy,method,month,normal,adjustment,emergency,total,emg_kwh,waste_kwh,charge_kwh,discharge_kwh,E_start,E_end
C0,P1,2025-01,1642917.9161263462,0.0,941212.6707467255,2584130.586873072,182217.10485639636,99392.62546054047,673975.5437758667,546674.2198234939,6000.0,5162.18959439794
C0,P1,2025-02,1197749.2209533246,0.0,183941.48046293974,1381690.7014162643,41358.918392313906,96831.28421643765,600430.8920064489,487084.562677149,5162.18959439794,4344.922758925281
C0,P1,2025-03,1038992.7314734103,0.0,234151.50584140662,1273144.237314817,51675.72990642739,172076.42222756255,608501.2032859114,492347.33818942565,4344.922758925281,4943.407727994765
C0,P1,2025-04,837273.8825524742,0.0,188918.87337947564,1026192.7559319499,42084.73284366445,194807.0242367703,554621.8866138749,448452.34754839295,4943.407727994765,5822.719515601133
C0,P1,2025-05,837327.1162424872,0.0,253031.28905456053,1090358.4052970477,52823.1567264946,203031.26849784883,532764.9504630005,427151.2751231825,5822.719515601133,10698.647017654386
C0,P1,2025-06,1270932.8374590534,0.0,245821.27717869976,1516754.1146377532,52026.17434809643,149069.1046415727,542244.169985597,447457.98018525844,10698.647017654386,1542.8664655156845
C0,P1,2025-07,1559675.6457086839,0.0,385374.244144307,1945049.8898529909,69741.81299797769,202038.8012430278,539863.6607726064,437432.4264894014,1542.8664655156845,1384.13172819333
C0,P1,2025-08,1302797.791942759,0.0,263576.22751989355,1566374.0194626527,51899.14198052222,237083.5431317194,539946.7517775521,436394.6651975806,1384.13172819333,2453.2469973450843
C0,P1,2025-09,970451.065654766,0.0,443321.9447977666,1413773.0104525327,103950.04305539072,184112.8915219842,560664.9223102832,453855.00234346103,2453.2469973450843,2768.3411394210034
C0,P1,2025-10,1028173.5343916944,0.0,262524.87906225986,1290698.4134539543,56680.82798843618,192955.79789377016,623038.3334530784,500560.67570185836,2768.3411394210034,7324.312689571157
C0,P1,2025-11,1219390.7305036741,0.0,244037.59349831002,1463428.3240019842,50439.081897496646,76203.55766012256,632456.5371548621,513067.03947153816,7324.312689571157,6460.707827237988
C0,P1,2025-12,1775624.859567091,0.0,248247.9623205691,2023872.8218876603,46547.65984244858,81743.60059221019,688155.1098552609,562006.0618278775,6460.707827237988,1349.126888220054
C1,P1,2025-01,1642790.8995356355,0.0,968108.8176628705,2610899.717198506,189129.93558893004,107474.85082895236,665596.641554785,539761.3890909603,6000.0,5302.100631572905
C1,P1,2025-02,1197685.7602324644,0.0,201813.61891986034,1399499.379152325,45122.84419777944,101466.31497730642,595630.2501947959,483321.9627431676,5302.100631572905,4344.922758925281
C1,P1,2025-03,1038493.2896906898,0.0,237439.88030704865,1275933.1699977387,56665.872276164366,176882.56730134395,602425.5784181537,487382.7031531555,4344.922758925281,4991.606498424095
C1,P1,2025-04,835998.2861206892,0.0,210607.34906673664,1046605.6351874259,51504.706043171886,202974.96673270763,544036.9748959867,439887.5497727521,4991.606498424095,5860.939712865404
C1,P1,2025-05,836168.0733440089,0.0,308149.0031649826,1144317.0765089914,73956.74378878094,225926.99651623768,508263.25199877215,407248.0798605843,5860.939712865404,10800.0
C1,P1,2025-06,1270593.1990937912,0.0,269164.12197908154,1539757.321072873,60205.05112316944,158462.42712059477,532216.1247732842,439426.53784739616,10800.0,1542.803576626795
C1,P1,2025-07,1559466.149822045,0.0,388401.71797940886,1947867.867801454,80200.40032675237,214503.08785327745,527183.1769265749,427150.9750363211,1542.803576626795,1395.468325742948
C1,P1,2025-08,1302503.6699746596,0.0,278400.89839628094,1580904.5683709404,63502.77670141046,250735.87542704862,525891.4743195677,425020.09339440794,1395.468325742948,2453.2469973450843
C1,P1,2025-09,969637.484179162,0.0,480879.77708320157,1450517.2612623638,115879.32062862854,196751.0417519919,546549.9183673994,442381.4667542393,2453.2469973450843,2813.2104677386296
C1,P1,2025-10,1027959.5802116862,0.0,276812.05963703076,1304771.639848717,61621.50851695881,198607.79282361147,616901.6219198292,495629.2256137456,2813.2104677386296,7325.530624756342
C1,P1,2025-11,1219150.0726898606,0.0,291278.1111611092,1510428.1838509697,62156.328526625846,89899.25484250452,618288.6385418732,501459.83975442353,7325.530624756342,6607.705585304988
C1,P1,2025-12,1775171.3510161664,0.0,296166.3006875791,2071337.6517037456,56475.066798166605,93170.00956390044,675795.1784381032,552126.8153622401,6607.705585304988,1349.126888220054
C2,P1,2025-01,1709911.4914847384,69198.03743266778,493697.8361304081,2272807.3650478143,103517.30074711013,69321.19727407553,693828.9083806184,562630.1792957062,6000.0,5301.373880660873
C2,P1,2025-02,1155873.7323069824,31214.570080459085,186758.9457859046,1373847.248173346,42284.91387138938,43171.964564966634,613287.367573197,497623.5737438515,5301.373880660873,4344.922758925281
C2,P1,2025-03,1011478.8979960666,33714.312158475994,165122.94295151837,1210316.1531060608,40264.89765534556,113824.93415779136,629983.964782953,509718.05204169045,4344.922758925281,4977.099906149304
